Exch_Name,Longitude,Latitude,x,y
22nd Street,-122.948947,49.200056,-13686624.7979,6308859.200099997
29th Avenue,-123.045944,49.244203,-13697354.4837,6316393.976800002
Aberdeen,-123.136286,49.184448,-13707464.2568,6306163.0845
Blanca,-123.215644,49.265128,-13716302.7146,6319968.453000002
Boundary,-123.025191,49.265474,-13695101.5991,6320027.4657000005
Braid,-122.882803,49.233244,-13679256.4812,6314466.497400001
Brentwood Town Centre,-123.001664,49.266384,-13692539.1021,6320169.358999997
Bridgeport,-123.125904,49.195535,-13706457.1997,6308036.542999998
Broadway-City Hall,-123.114815,49.262731,-13704938.6989,6319650.729699999
Burquitlam,-122.889868,49.261426,-13679973.4776,6319316.960900001
Burrard,-123.119346,49.285628,-13705694.727,6323497.024999999
Capilano University,-123.018632,49.319256,-13694371.4244,6329207.144900002
Carvolth,-122.659479,49.160287,-13654390.7002,6302102.599200003
Caulfeild,-123.252445,49.350696,-13720399.4349,6334577.967299998
Cloverdale,-122.733575,49.107789,-13662639.1066,6293170.717200004
Columbia,-122.906383,49.204672,-13681876.0183,6309667.544699997
Commercial-Broadway,-123.068793,49.262418,-13699912.9603,6319529.9196000025
Coquitlam Central,-122.800292,49.274416,-13670026.413,6321683.802500002
Deep Cove,-122.950708,49.326254,-13686810.2367,6330402.202200003
Dunbar,-123.185596,49.234709,-13712957.8324,6314780.832000002
Edgemont Village,-123.103668,49.338772,-13703837.5915,6332540.5889
Edmonds,-122.959192,49.212064,-13687697.5864,6310924.189800002
Gateway,-122.850601,49.198916,-13675685.2785,6308689.014799997
Gilmore,-123.013507,49.264956,-13693842.4382,6319900.991899997
Granville,-123.115675,49.28317,-13705151.1388,6323013.247100003
Guildford,-122.802726,49.191498,-13670336.9127,6307417.314599998
Haney Place,-122.597069,49.219462,-13647443.2673,6312181.844499998
Holdom,-122.982137,49.264729,-13690325.6264,6319912.273400001
Horseshoe Bay,-123.272695,49.374277,-13722653.6152,6338608.592299998
Inlet Centre,-122.828179,49.277299,-13673091.9921,6322080.079499997
Joyce-Collingwood,-123.031806,49.238405,-13695822.9158,6315393.2179000005
King Edward,-123.115027,49.248556,-13705142.0656,6317221.721900001
King George,-122.844749,49.182796,-13674897.6302,6305877.829800002
Knight Street-Marine Drive,-123.075604,49.211099,-13700713.5133,6310756.7619
Kootenay,-123.026275,49.28129,-13695222.244,6322725.892300002
Ladner,-123.061363,49.087673,-13699128.3205,6289750.852499999
Lafarge Lake-Douglas,-122.791638,49.285748,-13669149.6728,6323424.520199999
Lake City Way,-122.939039,49.254618,-13685437.9943,6318169.114
Langara-49th Avenue,-123.116569,49.225737,-13705246.8458,6313324.520400003
Langley Centre,-122.654344,49.106391,-13653819.0926,6292933.103299998
Lansdowne,-123.136355,49.173716,-13707474.1595,6304495.806199998
Lincoln,-122.79382,49.280416,-13669353.8486,6322541.547300004
Lonsdale Quay,-123.083044,49.310395,-13701541.7761,6327694.056100003
Lougheed Town Centre,-122.896859,49.248431,-13680715.2069,6317073.827500001
