stop_no,stop_name,line_con,Point,boundary
50001,Westbound Davie St @ Bidwell St,023,"[-123.140424, 49.286458]",West End
50011,Eastbound Davie St @ Howe St,006,"[-123.126971, 49.27755]",Downtown
50013,Eastbound Pacific St @ Richards St,023,"[-123.127316, 49.273528999999996]",Downtown
50014,Eastbound Pacific Blvd @ Homer St,023,"[-123.125546, 49.272929]",Downtown
50015,Eastbound Pacific Blvd @ Drake St,023,"[-123.123135, 49.273429]",Downtown
50016,Yaletown-Roundhouse Station @ Bay 4,023,"[-123.120842, 49.274035999999995]",Downtown
50021,Eastbound E Pender St @ Carrall St,019; 022; N19,"[-123.103799, 49.280394]",Downtown
50022,Northbound Columbia St @ E Pender St,050,"[-123.10219599999999, 49.280772]",Downtown
50023,Yaletown-Roundhouse Station @ Bay 1,006,"[-123.12252099999999, 49.274863]",Downtown
50024,Westbound Davie St @ Richards St,006,"[-123.124555, 49.276179]",Downtown
50025,Westbound Davie St @ Granville St,006,"[-123.12651399999999, 49.277437]",Downtown
50026,Westbound Davie St @ Howe St,006; 010,"[-123.12749299999999, 49.278073]",Downtown
50030,Northbound Burrard St @ Robson St,002; 005; 044; N22,"[-123.12213999999999, 49.283592999999996]",Downtown
50031,Burrard Station @ Bay 7,002; 005; 044,"[-123.120503, 49.284688]",Downtown
50034,Northbound Granville St @ W Hastings St,004; 007; 010; 050,"[-123.11335, 49.285553]",Downtown
50035,Waterfront Station @ Bay 3,003; 004; 007; 008; 010; 050; N8,"[-123.11119099999999, 49.284786]",Downtown
50036,Eastbound W Cordova St @ Homer St,003; 004; 007; 008; 050; 209; 210; 211; 214; N8,"[-123.109649, 49.283765]",Downtown
50038,Westbound Powell St @ Columbia St,050,"[-123.102896, 49.283285]",Downtown
50040,Waterfront Station @ Bay 2,050,"[-123.11206899999999, 49.285596999999996]",Downtown
50043,Burrard Station @ Bay 1,002; 005; N22,"[-123.11998200000001, 49.285306]",Downtown
50044,Southbound Burrard St @ W Georgia St,044,"[-123.121677, 49.284178000000004]",West End
50045,Southbound Burrard St @ Robson St,002; N22,"[-123.12333600000001, 49.283087]",West End
50046,Southbound Burrard St @ Barclay St,002; N22,"[-123.12488, 49.282068]",West End
50047,Southbound Burrard St @ Nelson St,002; 044; N22,"[-123.126516, 49.280981]",West End
50048,Westbound Davie St @ Burrard St,006,"[-123.129617, 49.279449]",West End
50049,Westbound Davie St @ Thurlow St,006,"[-123.131638, 49.280756]",West End
50050,Westbound Davie St @ Bute St,006,"[-123.133574, 49.282009]",West End
50051,Westbound Davie St @ Jervis St,006,"[-123.135121, 49.283006]",West End
50052,Westbound Davie St @ Broughton St,006,"[-123.13650700000001, 49.283898]",West End
50053,Westbound Davie St @ Cardero St,006,"[-123.13890900000001, 49.28546]",West End
50054,Eastbound W 16 Ave @ Trutch St,002; 033,"[-123.175459, 49.257636]",Arbutus-Ridge
50055,Eastbound W 16 Ave @ Carnarvon St,002; 033,"[-123.17185, 49.257583000000004]",Arbutus-Ridge
50056,Northbound Macdonald St @ W 16 Ave,002; N22,"[-123.168299, 49.258078999999995]",Kitsilano
50058,Northbound Macdonald St @ W 12 Ave,002; N22,"[-123.16816399999999, 49.261778]",Kitsilano
50060,Northbound Macdonald St @ W Broadway,002; 014; N22,"[-123.168174, 49.264458000000005]",Kitsilano
50061,Northbound Macdonald St @ W 7th Ave,002; 014; N22,"[-123.168302, 49.266073999999996]",Kitsilano
50063,Northbound Macdonald St @ W 4th Ave,002; N22,"[-123.168204, 49.268707]",Kitsilano
50064,Northbound Macdonald St @ W 2nd Ave,002; N22,"[-123.168148, 49.270381]",Kitsilano
50067,Eastbound Cornwall Ave @ Balsam St,002; N22,"[-123.159332, 49.272582]",Kitsilano
50069,Eastbound Cornwall Ave @ Yew St,002; N22,"[-123.154568, 49.272507]",Kitsilano
50070,Eastbound Cornwall Ave @ Arbutus St,002; N22,"[-123.152226, 49.272471]",Kitsilano
50072,Eastbound Cornwall Ave @ Cypress St,002; N22,"[-123.14733999999999, 49.272368]",Kitsilano
50073,Northbound Burrard St @ Pacific St,002; N22,"[-123.13178300000001, 49.277226]",Downtown
50074,Eastbound Davie St @ Burrard St,006,"[-123.128901, 49.278793]",Downtown
50075,Northbound Burrard St @ Davie St,002; 044; N22,"[-123.12925200000001, 49.278884999999995]",Downtown
50076,Eastbound W Pender St @ Burrard St,005; 019; 022; 209; 210; 211; 214; N24,"[-123.117245, 49.286121]",Downtown
50077,Eastbound W Pender St @ Granville St,005; 019; 022; 044; 209; 210; 211; 214; N24,"[-123.11523100000001, 49.284791]",Downtown
50078,Eastbound W Pender St @ Seymour St,005; 014; 017; 019; 022; 209; 210; 211; 214; N15; N19; N24,"[-123.11358899999999, 49.283753000000004]",Downtown
50080,Eastbound W Pender St @ Hamilton St,005; 017; 019; 022; N15; N19; N24,"[-123.11061799999999, 49.281799]",Downtown
50081,Southbound Cambie St @ Dunsmuir St,005; 006; N15; N24,"[-123.11114599999999, 49.280808]",Downtown
50085,Yaletown-Roundhouse Station @ Bay 3,023,"[-123.121945, 49.27402]",Downtown
50086,Westbound Pacific Blvd @ Drake St,023,"[-123.124214, 49.27342]",Downtown
50087,Westbound Pacific St @ Richards St,023,"[-123.12708500000001, 49.273623]",Downtown
50091,Westbound W Pender St @ Carrall St,004; 007; 019; 022; 209; 210; 211; 214; N19,"[-123.104998, 49.280707]",Downtown
50093,Westbound W Pender St @ Abbott St,004; 007; 019; 022; 209; 210; 211; 214; N19,"[-123.10821299999999, 49.281290000000006]",Downtown
50094,Westbound W Pender St @ Hamilton St,004; 005; 007; 019; 022; 209; 210; 211; 214; N19,"[-123.11137, 49.282472]",Downtown
50095,Westbound W Pender St @ Seymour St,004; 005; 007; 010; 019; 022; 209; 210; 211; 214; N19; N22,"[-123.11342900000001, 49.283818]",Downtown
50096,Westbound W Pender St @ Granville St,004; 005; 007; 010; 019; 022; 209; 210; 211; 214; N19; N22; N24,"[-123.11459599999999, 49.284575]",Downtown
50097,Westbound W Pender St @ Howe St,005; 019; 022,"[-123.116055, 49.285523]",Downtown
50098,Southbound Burrard St @ Davie St,002; N22,"[-123.12964, 49.278914]",West End
50103,Westbound Cornwall Ave @ Arbutus St,002; N22,"[-123.15298899999999, 49.272608]",Kitsilano
50104,Westbound Cornwall Ave @ Yew St,002; N22,"[-123.15543899999999, 49.272645000000004]",Kitsilano
50105,Westbound Cornwall Ave @ Point Grey Rd,002; N22,"[-123.16021599999999, 49.272731]",Kitsilano
50106,Westbound Cornwall Ave @ Trafalgar St,002; N22,"[-123.16463600000002, 49.272799]",Kitsilano
50107,Southbound Macdonald St @ W 1st Ave,002; N22,"[-123.168323, 49.270753000000006]",Kitsilano
50109,Southbound Macdonald St @ W 6th Ave,002; 014; N22,"[-123.16848300000001, 49.266273999999996]",Kitsilano
50110,Southbound Macdonald St @ W Broadway,002; N22,"[-123.168373, 49.264268]",Kitsilano
50111,Southbound Macdonald St @ W 11 Ave,002; N22,"[-123.16835, 49.261885]",Kitsilano
50112,Southbound Macdonald St @ W 13 Ave,002; N22,"[-123.168421, 49.260226]",Kitsilano
50113,Southbound Macdonald St @ W 16 Ave,002; N22,"[-123.16849599999999, 49.257315000000006]",Arbutus-Ridge
50114,Westbound W 16 Ave @ Macdonald St,002; 033,"[-123.16889599999999, 49.257816]",Kitsilano
50115,Westbound W 16 Ave @ Mackenzie St,002; 033,"[-123.170777, 49.257839000000004]",Kitsilano
50116,Westbound W 16 Ave @ Balaclava St,002; 033,"[-123.17458, 49.257903999999996]",Kitsilano
50119,Southbound Macdonald St @ W 21 Ave,002; N22,"[-123.16787, 49.253375]",Arbutus-Ridge
50121,Southbound Macdonald St @ Alamein Ave,002; N22,"[-123.16791299999998, 49.249858]",Arbutus-Ridge
50123,Westbound W King Edward Ave @ Puget Dr,002; 025; N22,"[-123.170432, 49.249627000000004]",Dunbar-Southlands
50124,Southbound Quesnel Dr @ W King Edward Ave,002; N22,"[-123.17191399999999, 49.249603]",Dunbar-Southlands
50126,Southbound Mackenzie St @ W 29 Ave,002; N22,"[-123.170308, 49.245847999999995]",Dunbar-Southlands
