Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5510","Production","01341","Apples","2010","2010","tonnes","712312","I","Imputed value"
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5510","Production","01341","Apples","2011","2011","tonnes","752300","E","Estimated value"
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5510","Production","01341","Apples","2012","2012","tonnes","785000","E","Estimated value"
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5510","Production","01341","Apples","2013","2013","tonnes","780000","E","Estimated value"
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5510","Production","01341","Apples","2014","2014","tonnes","777126","I","Imputed value"
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5510","Production","01341","Apples","2015","2015","tonnes","776710","I","Imputed value"
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5510","Production","01341","Apples","2016","2016","tonnes","783182","I","Imputed value"
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5510","Production","01341","Apples","2017","2017","tonnes","804051","I","Imputed value"
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5510","Production","01341","Apples","2018","2018","tonnes","816569","I","Imputed value"
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5510","Production","01341","Apples","2019","2019","tonnes","801267","E","Estimated value"
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5510","Production","01341","Apples","2020","2020","tonnes","807295","E","Estimated value"
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5510","Production","0115","Barley","2010","2010","tonnes","80000","T","Unofficial figure"
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5510","Production","0115","Barley","2011","2011","tonnes","55000","T","Unofficial figure"
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5510","Production","0115","Barley","2012","2012","tonnes","29000","T","Unofficial figure"
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5510","Production","0115","Barley","2013","2013","tonnes","30300","T","Unofficial figure"
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5510","Production","0115","Barley","2014","2014","tonnes","12000","T","Unofficial figure"
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5510","Production","0115","Barley","2015","2015","tonnes","11000","T","Unofficial figure"
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5510","Production","0115","Barley","2016","2016","tonnes","16200","T","Unofficial figure"
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5510","Production","0115","Barley","2017","2017","tonnes","28000","E","Estimated value"
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5510","Production","0115","Barley","2018","2018","tonnes","32500","E","Estimated value"
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5510","Production","0115","Barley","2019","2019","tonnes","55900","E","Estimated value"
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5510","Production","0115","Barley","2020","2020","tonnes","57000","E","Estimated value"
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5510","Production","01701","Beans, dry","2010","2010","tonnes","334734","I","Imputed value"
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5510","Production","01701","Beans, dry","2011","2011","tonnes","340000","E","Estimated value"
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5510","Production","01701","Beans, dry","2012","2012","tonnes","305000","E","Estimated value"
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5510","Production","01701","Beans, dry","2013","2013","tonnes","310000","E","Estimated value"
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5510","Production","01701","Beans, dry","2014","2014","tonnes","317105","I","Imputed value"
