,name,listing_url,neighbourhood,latitude,longitude,price,room_type,review_scores_rating,entertainment,food,leisure,transportation,shop,tourism
0,Monthly (or Longer ) Designer One Bedroom Downtown,https://www.airbnb.com/rooms/13358,,49.28201,-123.12669,100.0,Entire home/apt,0.9339999999999999,0.2329192546583851,0.15243290537446924,0.12743362831858407,0.006846943448491551,0.18285255381183962,0.02762762762762763
1,Vancouver's best kept secret,https://www.airbnb.com/rooms/13490,"Vancouver, British Columbia, Canada",49.25622,-123.06607,150.0,Entire home/apt,0.984,0.0,0.0,0.0,0.0,0.0,0.0
2,EcoLoft Vancouver,https://www.airbnb.com/rooms/14267,"Vancouver, British Columbia, Canada",49.24922,-123.08139,150.0,Entire home/apt,0.952,0.0,0.0,0.0,0.0011281260820516258,0.0,0.0
3,Spacious one-bedroom in sought-after Strathcona,https://www.airbnb.com/rooms/14424,,49.27921,-123.08835,166.0,Entire home/apt,0.9380000000000001,0.0,0.0,0.0,0.00011169565168827978,0.0,0.0
4,Close to PNE/Hastings Park Garden level suite,https://www.airbnb.com/rooms/16254,"Vancouver, British Columbia, Canada",49.27721,-123.04086,350.0,Entire home/apt,0.914,0.0,0.0,0.0,0.0,0.0,0.0
5,"1 block to skytrain station, shops,restaurant,bank",https://www.airbnb.com/rooms/16611,"Vancouver, British Columbia, Canada",49.26339,-123.07145,100.0,Entire home/apt,0.8,0.0,0.0,0.0,0.021255682516279642,0.0,0.0
6,Vancouver 3br 3ba house 20min to DT,https://www.airbnb.com/rooms/17158,"Vancouver, British Columbia, Canada",49.25277,-123.03774,195.0,Entire home/apt,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,"Central location, nice little apartment",https://www.airbnb.com/rooms/17765,"Vancouver, British Columbia, Canada",49.26132,-123.10845,94.0,Entire home/apt,0.9199999999999999,0.0,0.0,0.0,0.0,0.0,0.0
8,private rm in clean central 2BR apt,https://www.airbnb.com/rooms/18270,"Vancouver, British Columbia, Canada",49.26557,-123.096,51.0,Private room,0.908,0.0,0.0,0.0,0.005662969540595785,0.0,0.3927927927927928
9,Commercial Drive B&B,https://www.airbnb.com/rooms/18589,"Vancouver, British Columbia, Canada",49.27569,-123.07057,106.0,Private room,0.9960000000000001,0.0,0.0,0.0,0.0,0.0,0.0
