name,listing_url,neighbourhood,latitude,longitude,price,room_type,review_scores_rating,point
Monthly (or Longer ) Designer One Bedroom Downtown,https://www.airbnb.com/rooms/13358,,49.28201,-123.12669,100.0,Entire home/apt,4.67,POINT (-123.12669 49.28201)
Vancouver's best kept secret,https://www.airbnb.com/rooms/13490,"Vancouver, British Columbia, Canada",49.25622,-123.06607,150.0,Entire home/apt,4.92,POINT (-123.06607 49.25622)
EcoLoft Vancouver,https://www.airbnb.com/rooms/14267,"Vancouver, British Columbia, Canada",49.24922,-123.08139,150.0,Entire home/apt,4.76,POINT (-123.08139 49.24922)
Spacious one-bedroom in sought-after Strathcona,https://www.airbnb.com/rooms/14424,,49.27921,-123.08835,166.0,Entire home/apt,4.69,POINT (-123.08835 49.27921)
Close to PNE/Hastings Park Garden level suite,https://www.airbnb.com/rooms/16254,"Vancouver, British Columbia, Canada",49.27721,-123.04086,350.0,Entire home/apt,4.57,POINT (-123.04086 49.27721)
"1 block to skytrain station, shops,restaurant,bank",https://www.airbnb.com/rooms/16611,"Vancouver, British Columbia, Canada",49.26339,-123.07145,100.0,Entire home/apt,4.0,POINT (-123.07145 49.26339)
Vancouver 3br 3ba house 20min to DT,https://www.airbnb.com/rooms/17158,"Vancouver, British Columbia, Canada",49.25277,-123.03774,195.0,Entire home/apt,5.0,POINT (-123.03774 49.25277)
"Central location, nice little apartment",https://www.airbnb.com/rooms/17765,"Vancouver, British Columbia, Canada",49.26132,-123.10845,94.0,Entire home/apt,4.6,POINT (-123.10845 49.26132)
private rm in clean central 2BR apt,https://www.airbnb.com/rooms/18270,"Vancouver, British Columbia, Canada",49.26557,-123.096,51.0,Private room,4.54,POINT (-123.096 49.26557)
Commercial Drive B&B,https://www.airbnb.com/rooms/18589,"Vancouver, British Columbia, Canada",49.27569,-123.07057,106.0,Private room,4.98,POINT (-123.07057 49.27569)
*Best choice in downtown-5 Stars * -2,https://www.airbnb.com/rooms/18795,,49.28299,-123.13008,85.0,Private room,4.56,POINT (-123.13008 49.28299)
Spacious Apartment near Granville Island and VGH,https://www.airbnb.com/rooms/19527,"Vancouver, British Columbia, Canada",49.26018,-123.13477,133.0,Entire home/apt,4.69,POINT (-123.13477 49.26018)
Beautiful 2 Br 2 Bath + Den Yaletown Seawall,https://www.airbnb.com/rooms/19621,"Vancouver, British Columbia, Canada",49.27323,-123.12032,190.0,Entire home/apt,4.0,POINT (-123.12032 49.27323)
Bright & Cheerful Uptown Garden Suite,https://www.airbnb.com/rooms/20085,"Vancouver, British Columbia, Canada",49.25636,-123.08636,99.0,Entire home/apt,4.82,POINT (-123.08636 49.25636)
"Relocating , working in North Vancouver ?",https://www.airbnb.com/rooms/20369,"North Vancouver, British Columbia, Canada",49.30689,-123.03184,195.0,Entire home/apt,3.67,POINT (-123.03184 49.30689)
Hotel alternative furnished rooms in B&B North Van,https://www.airbnb.com/rooms/20377,"North Vancouver, British Columbia, Canada",49.30581,-123.06809,249.0,Private room,5.0,POINT (-123.06809 49.30581)
PRIVATE ROOM + BATH + KING BED + dedicated entry,https://www.airbnb.com/rooms/21912,"Vancouver, British Columbia, Canada",49.23361,-123.05283,75.0,Private room,4.7,POINT (-123.05283 49.23361)
PRIVATE  SUITE (KITCHEN+ BEDROOM+BATH+LIVING ROOM),https://www.airbnb.com/rooms/21913,"Vancouver, British Columbia, Canada",49.23442,-123.05307,102.0,Entire home/apt,4.74,POINT (-123.05307 49.23442)
Walker's paradise in Kitsilano,https://www.airbnb.com/rooms/24273,"Vancouver, British Columbia, Canada",49.26216,-123.1715,140.0,Entire home/apt,5.0,POINT (-123.1715 49.26216)
The Alpha Downtown by COMFYSUITES,https://www.airbnb.com/rooms/26047,"Vancouver, British Columbia, Canada",49.28086,-123.12375,160.0,Entire home/apt,4.76,POINT (-123.12375 49.28086)
Designer Urban Park View Townhouse,https://www.airbnb.com/rooms/32746,,49.2792,-123.105,127.0,Entire home/apt,4.27,POINT (-123.105 49.2792)
“Suite on Main”  near  Q.E Park,https://www.airbnb.com/rooms/33150,"Vancouver, British Columbia, Canada",49.24677,-123.1048,165.0,Entire home/apt,4.98,POINT (-123.1048 49.24677)
FURNISHED 2Br + 2Br Yaletown PRIME location!,https://www.airbnb.com/rooms/35102,"Vancouver, British Columbia, Canada",49.27743,-123.11869,147.0,Entire home/apt,4.72,POINT (-123.11869 49.27743)
