lat,lon,amenity,tags,name,category
49.2819978,-123.124346,cinema,"{'brand:wikidata': 'Q2972807', 'addr:province': 'BC', 'wheelchair': 'yes', 'website': 'https://www.cineplex.com/Theatre/scotiabank-theatre-vancouver', 'payment:credit_cards': 'yes', 'brand:wikipedia': 'en:Cineplex Entertainment', 'opening_hours:covid19': 'closed', 'addr:postcode': 'V6Z 3G5', 'operator': 'Cineplex', 'addr:city': 'Vancouver', 'toilets:wheelchair': 'yes', 'addr:housenumber': '900', 'phone': '+1-604-630-1407', 'opening_hours': 'Mo-Sa 10:00-18:00+; Su 11:00-18:00+', 'is_in:city': 'Vancouver', 'addr:street': 'Burrard Street', 'payment:debit_cards': 'yes', 'wikidata': 'Q38378292', 'brand': 'Cineplex'}",Scotiabank Theatre Vancouver,attraction
49.2805037,-123.1068723,theatre,"{'alt_name': 'Tinseltown', 'addr:housenumber': '88', 'addr:street': 'West Pender Street', 'level': '2', 'addr:city': 'Vancouver'}",Cineplex Odeon International Village Cinemas,attraction
49.1165969,-122.8220789,theatre,"{'website': 'http://www.bellperformingartscentre.com/', 'addr:housenumber': '6250', 'addr:street': '144 Street', 'phone': '+1-604-507-6355', 'addr:city': 'Surrey'}",Bell Performing Arts Centre,attraction
49.2753913,-123.1096402,nightclub,{},Eng,attraction
49.2853872,-122.7909589,arts_centre,"{'addr:housenumber': '1205', 'addr:street': 'Pinetree Way', 'addr:postcode': 'V3B 7Y3', 'addr:city': 'Coquitlam'}",Evergreen Cultural Centre,attraction
49.2745976,-123.122952,nightclub,"{'opening_hours:signed': 'no', 'website': 'http://barnoneclub.com/', 'addr:housenumber': '1222', 'addr:street': 'Hamilton Street'}",Bar None,attraction
49.2826068,-123.108081,arts_centre,"{'addr:province': 'BC', 'alt_name': 'Simon Fraser University Goldcorp Centre for the Arts', 'addr:housenumber': '149', 'short_name': 'SFU Goldcorp Centre for the Arts', 'addr:street': 'West Hastings Street', 'wikidata': 'Q112769064', 'addr:city': 'Vancouver'}",Goldcorp Centre for the Arts,attraction
49.2800554,-123.1164214,theatre,"{'addr:province': 'BC', 'addr:housenumber': '777', 'short_name': 'The Centre', 'addr:street': 'Homer Street', 'wikidata': 'Q38378369', 'addr:postcode': 'V6B 2W1', 'addr:city': 'Vancouver'}",The Centre For Performing Arts,attraction
49.192764,-122.8418197,stripclub,{},,attraction
49.202349,-122.9089275,stripclub,{},,attraction
49.2600139,-123.1153253,theatre,{'addr:city': 'Vancouver'},"Yuck, Yucks Comedy Club",attraction
49.2672532,-123.2503018,theatre,{},The Norm Theatre,attraction
49.3024159,-122.9553282,boat_rental,"{'opening_hours': 'May-Sept: 10:00-18:00', 'website': 'https://www.catespark.com/'}",Cates Park Paddling Centre,attraction
49.1624436,-122.8414863,theatre,"{'addr:housenumber': '13750', 'addr:street': '88 Avenue'}",Surrey Arts Centre - Main Stage,attraction
49.2785849,-123.0706042,theatre,"{'website': 'https://yorktheatre.ca/', 'addr:housenumber': '639', 'addr:street': 'Commercial Drive', 'wikidata': 'Q38378460', 'addr:postcode': 'V5L 2W2'}",York Theatre,attraction
49.2701092,-123.1081218,theatre,"{'website': 'https://artsclub.com/', 'alt_name': 'Goldcorp Stage at the BMO Theatre Centre', 'addr:housenumber': '162', 'addr:street': 'West 1st Avenue', 'addr:city': 'Vancouver'}",BMO Theatre Centre,attraction
49.2249319,-123.1086853,theatre,"{'website': 'https://langara.ca/studio-58/', 'addr:housenumber': '100', 'phone': '+1-604-323-5227', 'name:en': 'Studio 58', 'addr:street': 'West 49th Avenue', 'operator': 'Studio 58'}",Studio 58,attraction
49.2037107,-123.1375228,theatre,"{'website': 'https://metrotheatre.com/', 'addr:housenumber': '1370', 'phone': '+1-604-266-7191', 'addr:street': 'Southwest Marine Drive', 'wikidata': 'Q38378154', 'addr:postcode': 'V6P 5Z9', 'addr:city': 'Vancouver'}",Metro Theatre,attraction
49.0298938,-122.800849,theatre,"{'addr:province': 'BC', 'website': 'https://www.whiterockplayers.ca/', 'alt_name': ""White Rock Players' Club"", 'addr:housenumber': '1532', 'phone': '+1-604-536-7535', 'addr:street': 'Johnston Road', 'addr:city': 'White Rock'}",Coast Capital Playhouse,attraction
49.3378962,-123.1600566,theatre,"{'wheelchair': 'yes', 'website': 'http://kaymeekcentre.com/', 'addr:housenumber': '1700', 'addr:street': 'Mathers Avenue', 'phone': '+1-604-981-6335'}",Kay Meek Centre for the Performing Arts,attraction
49.2911911,-123.130162,theatre,"{'addr:province': 'BC', 'website': 'https://palstudiotheatre.com/', 'alt_name': 'Performing Art Lodges Vancouver, Performing Art Lodges Theatre', 'addr:housenumber': '581', 'phone': '+1-604-255-4313', 'addr:street': 'Cardero Street', 'addr:postcode': 'V6G 3L3', 'addr:unit': '300', 'addr:city': 'Vancouver'}",PAL Studio Theatre,attraction
49.0855866,-123.0848311,theatre,{},Genesis Theater,attraction
49.2406991,-122.96951,arts_centre,"{'website': 'https://www.burnaby.ca/Things-To-Do/Arts-and-Heritage/Shadbolt-Centre-for-the-Arts.html', 'addr:housenumber': '6450', 'phone': '+1-604-297-4440', 'opening_hours': 'Mo-Th 09:00-20:00; Fr 09:00-19:00; Sa 09:00-16:00; Su 10:00-15:00', 'addr:street': 'Deer Lake Avenue', 'email': 'shadboltinfo@burnaby.ca'}",Shadbolt Centre For the Arts,attraction
49.2787749,-123.1146836,arts_centre,"{'website': 'https://thepostat750.ca/', 'addr:housenumber': '110-750', 'phone': '+1-604-674-8110', 'addr:street': 'Hamilton Street', 'addr:postcode': 'V6B 2R5', 'addr:city': 'Vancouver'}",The Post at 750,attraction
49.1325168,-122.3001628,gambling,"{'opening_hours': '10:00-01:00', 'website': 'https://www.missionchances.com/', 'entrance': 'yes', 'phone': '+1-604-820-4046'}",Chances Mission,attraction
49.0660353,-122.324949,marketplace,"{'opening_hours': 'Su 06:00-16:00', 'website': 'https://www.abbotsfordfleamarket.com/', 'phone': '+1-604-859-7540'}",Abbotsford Flea Market,attraction
49.034793,-122.0038093,theatre,{},Maple Bay Amphitheatre,attraction
49.03348,-122.8007654,cinema,{'website': 'http://www.hollywood3.ca/listings/rialto-white-rock/'},Rialto White Rock,attraction
49.2098186,-123.1157123,cinema,"{'website': 'https://www.cineplex.com/Theatre/cineplex-cinemas-marine-gateway-and-vip', 'addr:housenumber': '452', 'phone': '+1-604-630-0414', 'is_in:city': 'Vancouver', 'addr:street': 'South West Marine Drive', 'addr:postcode': 'V5X 0C3', 'operator': 'Cineplex'}",Cineplex Cinemas Marine Gateway and VIP,attraction
49.2801451,-123.131353,nightclub,"{'opening_hours': 'Tu 20:00-03:00; Fr,Sa 22:00-03:00', 'addr:housenumber': '1240', 'addr:street': 'Thurlow Street', 'addr:city': 'Vancouver'}",Kiss & Tell Lounge,attraction
49.2793851,-123.129915,nightclub,"{'opening_hours:signed': 'no', 'addr:province': 'BC', 'wheelchair': 'limited', 'addr:housenumber': '1022', 'addr:street': 'Davie Street', 'addr:city': 'Vancouver'}",Celebrities,attraction
49.0660316,-122.3776476,arts_centre,"{'phone': '+1-778-882-2460', 'level': '0', 'addr:unit': '103'}",Busybee Art Studio,attraction
49.2196926,-122.6716382,cinema,"{'brand:wikidata': 'Q2972807', 'website': 'https://www.cineplex.com/', 'brand': 'Cineplex', 'brand:wikipedia': 'en:Cineplex Entertainment', 'survey:date': '2022-08-02'}",Cineplex,attraction
