lat,lon,amenity,tags,name,category
49.260812,-123.125736,cafe,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'addr:housenumber': '2787', 'brand:wikipedia': 'en:Starbucks', 'opening_hours': 'Mo-Th 05:30-19:30; Fr-Su 05:30-20:00', 'cuisine': 'coffee_shop', 'addr:street': 'Laurel Street', 'takeaway': 'yes', 'brand': 'Starbucks'}",Starbucks,food
49.260953,-123.125704,fast_food,{'opening_hours': 'Mo-Fr 07:00-17:00; Sa 10:00-14:30'},Salad Loop,food
49.2498481,-122.959708,bbq,{},,food
49.1266497,-123.1824699,restaurant,"{'addr:housenumber': '10-3891', 'phone': '+1-604-370-4949', 'cuisine': 'indian', 'addr:street': 'Chatham Street', 'addr:postcode': 'V7E 2Z6', 'addr:city': 'Richmond'}",Best Bite Indian Cuisine,food
49.2831924,-123.1090499,pub,"{'wheelchair': 'limited', 'toilets:wheelchair': 'no', 'addr:housenumber': '300', 'addr:street': 'Cambie Street', 'addr:city': 'Vancouver'}",The Cambie,food
49.1327053,-123.0991859,restaurant,"{'brand:wikidata': 'Q3472954', 'cuisine': 'chicken;portuguese', 'brand': ""Nando's"", 'brand:wikipedia': ""en:Nando's""}",Nando's,food
49.1330103,-123.0955358,restaurant,"{'brand:wikidata': 'Q894578', 'cuisine': 'pizza', 'brand': 'Boston Pizza', 'brand:wikipedia': 'en:Boston Pizza', 'addr:unit': '2000'}",Boston Pizza,food
49.2347493,-123.1547249,fast_food,"{'brand:wikidata': 'Q38076', 'wheelchair': 'yes', 'website': 'http://www.mcdonalds.ca/', 'addr:housenumber': '2095', 'internet_access': 'wlan', 'brand:wikipedia': ""en:McDonald's"", 'opening_hours': '24/7', 'cuisine': 'burger', 'addr:street': 'West 41st Avenue', 'takeaway': 'yes', 'brand': ""McDonald's""}",McDonald's,food
49.2457903,-122.891636,restaurant,"{'opening_hours': 'Mo-Su 10:00-00:00', 'cuisine': 'vietnamese', 'website': 'http://www.pho99coquitlam.com/', 'phone': '+1-604-939-2288', 'addr:unit': '302'}",Pho 99,food
49.2457299,-122.891401,restaurant,"{'opening_hours': 'Mo-Su 11:30-22:00', 'cuisine': 'korean', 'website': 'http://insadongbbq.ca/', 'addr:unit': '301'}",Insadong,food
49.2462257,-122.8918439,restaurant,"{'addr:housenumber': '403', 'cuisine': 'japanese;korean;sushi', 'addr:street': 'North Road', 'addr:postcode': 'V3K 3V9', 'addr:unit': '205', 'addr:city': 'Coquitlam'}",Best Sushi N Kitchen,food
49.2451974,-122.892176,restaurant,"{'website': 'https://greatwings.ca/', 'addr:housenumber': '345', 'phone': '+1-604-931-5500', 'opening_hours': 'Mo,Tu 11:30-21:00; Th 11:30-22:00; We,Fr,Sa,Su 11:30-23:00', 'cuisine': 'pub', 'addr:street': 'North Road', 'addr:postcode': 'V3K 3V8'}",WINGS Tap and Grill,food
49.2687365,-123.0457293,restaurant,"{'opening_hours': 'Tu-Sa 11:30-21:00; Su 12:00-21:00', 'phone': '+1-601-620-0200', 'level': '0'}",Fuku Ramen,food
49.2284004,-122.8483834,cafe,"{'brand:wikidata': 'Q175106', 'addr:housenumber': '1450', 'brand:wikipedia': 'en:Tim Hortons', 'opening_hours': '24/7', 'cuisine': 'coffee_shop', 'addr:street': 'United Boulevard', 'takeaway': 'yes', 'brand': 'Tim Hortons'}",Tim Hortons,food
49.212449,-122.919749,cafe,"{'brand:wikidata': 'Q175106', 'website': 'https://www.timhortons.com/', 'addr:housenumber': '524', 'brand:wikipedia': 'en:Tim Hortons', 'cuisine': 'coffee_shop', 'source': 'gps/photo survey', 'addr:street': 'Belmont Street', 'takeaway': 'yes', 'brand': 'Tim Hortons', 'operator': 'Restaurant Brands International Inc.'}",Tim Hortons,food
49.2126267,-122.9193393,cafe,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'brand': 'Starbucks'}",Starbucks,food
49.1935797,-123.1807883,cafe,"{'brand:wikidata': 'Q175106', 'level': '0', 'brand:wikipedia': 'en:Tim Hortons', 'indoor': 'yes', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'brand': 'Tim Hortons'}",Tim Hortons,food
49.281302,-123.0575579,restaurant,"{'addr:housenumber': '2327', 'addr:street': 'East Hastings Street', 'addr:city': 'Vancouver'}",Tacofino Commissary,food
49.2812984,-123.0573443,restaurant,"{'addr:housenumber': '2341', 'addr:street': 'East Hastings Street', 'addr:city': 'Vancouver'}",Miyako Sushi,food
49.2812866,-123.055091,restaurant,"{'addr:province': 'BC', 'addr:housenumber': '2481', 'addr:street': 'East Hastings Street', 'addr:city': 'Vancouver'}",Bad Apple Vegan Restaurant & Bar,food
49.2821554,-123.0998393,cafe,"{'addr:housenumber': '305', 'addr:street': 'Main Street', 'addr:city': 'Vancouver'}",Waves Coffee,food
49.2832655,-123.0978958,restaurant,"{'addr:housenumber': '269', 'addr:street': 'Powell Street', 'addr:city': 'Vancouver'}",St Lawrence Restaurant,food
49.2832876,-123.0980745,restaurant,"{'addr:housenumber': '261', 'addr:street': 'Powell Street', 'addr:city': 'Vancouver'}",Cuhillo,food
49.2831728,-123.0935162,cafe,"{'opening_hours:signed': 'no', 'check_date:opening_hours': '2022-07-30', 'addr:housenumber': '477', 'addr:street': 'Powell Street', 'addr:city': 'Vancouver'}",The Uncommon Cafe,food
49.2796054,-123.100279,restaurant,"{'addr:province': 'BC', 'addr:housenumber': '185', 'addr:street': 'Keefer Street', 'addr:city': 'Vancouver'}",MILA,food
49.2796207,-123.1011093,restaurant,"{'addr:housenumber': '139', 'addr:street': 'Keefer Street', 'addr:city': 'Vancouver'}",Gold Stone Bakery & Restaurant,food
49.2821955,-123.1024011,bar,"{'note': 'They have ping pong. Not sure about how to tag that', 'addr:housenumber': '303', 'addr:street': 'Columbia Street', 'addr:city': 'Vancouver'}",Back and Forth Bar,food
49.2831638,-123.1035309,restaurant,"{'addr:housenumber': '26', 'addr:street': 'Powell Street', 'addr:city': 'Vancouver'}",The Sardine Can,food
49.2836044,-123.1036863,ice_cream,"{'addr:housenumber': '25', 'addr:street': 'Alexander Street', 'addr:city': 'Vancouver'}",Soft Peaks Ice Cream,food
49.284169,-123.1073434,bar,"{'addr:housenumber': '131', 'addr:street': 'Water Street', 'addr:city': 'Vancouver'}",131 Water Kitchen & Bar,food
49.2834234,-123.1064112,restaurant,"{'addr:housenumber': '216', 'addr:street': 'Abbott Street', 'addr:city': 'Vancouver'}",Jules Bistro,food
49.2731066,-123.1007271,cafe,"{'brand:wikidata': 'Q175106', 'addr:housenumber': '195', 'brand:wikipedia': 'en:Tim Hortons', 'cuisine': 'coffee_shop', 'addr:street': 'Terminal Avenue', 'takeaway': 'yes', 'brand': 'Tim Hortons', 'addr:city': 'Vancouver'}",Tim Hortons,food
49.2427766,-123.004051,restaurant,{'cuisine': 'indian'},Royal Paan,food
49.2427149,-123.004048,fast_food,"{'brand:wikidata': 'Q244457', 'website': 'https://restaurants.subway.com/canada/bc/burnaby/4737-willingdon-ave', 'addr:housenumber': '4737', 'phone': '+1-604-559-5001', 'brand:wikipedia': 'en:Subway (restaurant)', 'opening_hours': 'Mo-Fr 07:00-20:00; Sa 08:00-20:00; Su 08:30-20:00', 'cuisine': 'sandwich', 'addr:street': 'Willingdon Avenue', 'takeaway': 'yes', 'brand': 'Subway'}",Subway,food
49.2248956,-122.989539,cafe,"{'website': 'https://www.sunteabc.com/', 'addr:housenumber': '5172', 'cuisine': 'bubble_tea', 'addr:street': 'Kingsway', 'name:zh-Hans': '新作の茶', 'addr:unit': '150', 'addr:city': 'Burnaby'}",SunTea,food
49.2258237,-122.994418,restaurant,"{'website': 'https://www.unclewillysbuffet.com/', 'addr:housenumber': '6411', 'phone': '+1-604-431-0399', 'opening_hours': 'Mo-Fr 16:00-21:00; Fr 11:30-15:00, 16:00-21:00; Sa 11:30-15:00, 16:00-21:00; Su 10:30-15:00, 16:00-21:00', 'cuisine': 'buffet', 'addr:street': 'Nelson Avenue', 'addr:unit': '100', 'addr:city': 'Burnaby'}",Uncle Willy's,food
49.2271784,-122.994952,restaurant,"{'website': 'https://www.cattlecafe.ca/', 'addr:housenumber': '4877', 'phone': '+1-604-430-8686', 'opening_hours': 'Mo-Fr 11:30-22:00; Sa-Su 11:00-22:00; PH 11:00-22:00', 'name:en': 'Cattle Cafe', 'addr:street': 'Kingsway', 'name:zh-Hant': '牛仔餐廳', 'email': 'info@cattlegroup.com', 'addr:city': 'Burnaby'}",Cattle Cafe,food
49.2273082,-122.995242,cafe,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'website': 'https://www.starbucks.com/store-locator/store/575/centrepoint-kingsway-miller-4847-kingsway-ave-centrepoint-burnaby-bc-v-5-h-4-t', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'addr:city': 'Burnaby', 'addr:housenumber': '4847', 'phone': '+1-604-431-7479', 'opening_hours': 'Mo-Fr 06:00-17:00; Sa-Su 07:00-17:00', 'addr:street': 'Kingsway', 'brand': 'Starbucks'}",Starbucks,food
49.2272795,-122.994524,restaurant,"{'website': 'https://www.morakkoreanfusion.com/', 'addr:housenumber': '6285', 'addr:street': 'Nelson Avenue', 'phone': '+1-604-437-8839', 'addr:city': 'Burnaby'}",Morak Korean Restaurant,food
