,Exch_Name,Longitude,Latitude
0,22nd Street,-122.948947,49.200056
1,29th Avenue,-123.045944,49.244203
2,Aberdeen,-123.136286,49.184448
3,Blanca,-123.215644,49.265128
4,Boundary,-123.025191,49.265474
5,Braid,-122.882803,49.233244
6,Brentwood Town Centre,-123.001664,49.266384
7,Bridgeport,-123.125904,49.195535
8,Broadway-City Hall,-123.114815,49.262731
9,Burquitlam,-122.889868,49.261426
10,Burrard,-123.119346,49.285628
11,Capilano University,-123.018632,49.319256
12,Carvolth,-122.659479,49.160287
13,Caulfeild,-123.252445,49.350696
14,Cloverdale,-122.733575,49.107789
15,Columbia,-122.906383,49.204672
16,Commercial-Broadway,-123.068793,49.262418
17,Coquitlam Central,-122.800292,49.274416
18,Deep Cove,-122.950708,49.326254
19,Dunbar,-123.185596,49.234709
20,Edgemont Village,-123.103668,49.338772
21,Edmonds,-122.959192,49.212064
22,Gateway,-122.850601,49.198916
23,Gilmore,-123.013507,49.264956
24,Granville,-123.115675,49.28317
25,Guildford,-122.802726,49.191498
26,Haney Place,-122.597069,49.219462
27,Holdom,-122.982137,49.264729
28,Horseshoe Bay,-123.272695,49.374277
29,Inlet Centre,-122.828179,49.277299
30,Joyce-Collingwood,-123.031806,49.238405
31,King Edward,-123.115027,49.248556
32,King George,-122.844749,49.182796
33,Knight Street-Marine Drive,-123.075604,49.211099
34,Kootenay,-123.026275,49.28129
35,Ladner,-123.061363,49.087673
36,Lafarge Lake-Douglas,-122.791638,49.285748
37,Lake City Way,-122.939039,49.254618
38,Langara-49th Avenue,-123.116569,49.225737
39,Langley Centre,-122.654344,49.106391
40,Lansdowne,-123.136355,49.173716
41,Lincoln,-122.79382,49.280416
42,Lonsdale Quay,-123.083044,49.310395
43,Lougheed Town Centre,-122.896859,49.248431
44,Lynn Valley Centre NightBus,-123.03842,49.336837
45,Main Street-Science World,-123.100344,49.273152
46,Maple Meadows,-122.666697,49.216661
47,Marine Drive,-123.117073,49.209785
48,Marpole,-123.133159,49.203212
49,Matthews,-122.95945,49.090558
50,Meadowtown,-122.672599,49.221824
51,Metrotown,-123.003807,49.225769
52,Mission City,-122.303974,49.133695
53,Moody Centre,-122.845861,49.278031
54,Nanaimo,-123.05572,49.248243
55,New Westminster,-122.912623,49.201418
56,Newton,-122.842792,49.133023
57,NightBus District,-123.117092,49.284537
58,Oakridge-41st Avenue,-123.116271,49.232943
59,Olympic Village,-123.114801,49.26657
60,Park Royal,-123.137719,49.327948
61,Patterson,-123.01264,49.229748
62,Phibbs,-123.028744,49.305502
63,Pitt Meadows,-122.687865,49.225662
64,Port Coquitlam,-122.773982,49.261497
65,Port Haney,-122.606021,49.212335
66,Production Way-University,-122.91813,49.253407
67,Renfrew,-123.045286,49.25893
68,Richmond-Brighouse,-123.136345,49.168295
69,Royal Oak,-122.988428,49.220063
70,Rupert,-123.032865,49.26076
71,SFU,-122.912628,49.278712
72,Sapperton,-122.889394,49.224651
73,Scott Road,-122.874168,49.204428
74,Scottsdale,-122.88816,49.137548
75,Sea Island Centre,-123.159011,49.192682
76,Snug Cove,-123.333561,49.379762
77,South Delta,-123.067915,49.036056
78,South Surrey,-122.821967,49.072485
79,Sperling-Burnaby Lake,-122.963858,49.259163
80,Stadium-Chinatown,-123.109171,49.279293
81,Stanley Park,-123.133859,49.300537
82,Steveston,-123.184108,49.126421
83,Surrey Central,-122.847856,49.189525
84,Templeton,-123.14657,49.19667
85,Tsawwassen Ferry Terminal,-123.130235,49.007172
86,UBC,-123.247907,49.267244
87,VCC-Clark,-123.078798,49.265767
88,Vancouver City Centre,-123.118192,49.282419
89,Waterfront,-123.113122,49.286603
90,White Rock Centre,-122.801288,49.031979
91,YVR-Airport,-123.178474,49.194308
92,Yaletown-Roundhouse,-123.122014,49.274577
