,stop_no,stop_name,line_con,Longitude,Latitude
0,50001,Westbound Davie St @ Bidwell St,023,-123.140424,49.286458
1,50011,Eastbound Davie St @ Howe St,006,-123.126971,49.27755
2,50013,Eastbound Pacific St @ Richards St,023,-123.127316,49.273529
3,50014,Eastbound Pacific Blvd @ Homer St,023,-123.125546,49.272929
4,50015,Eastbound Pacific Blvd @ Drake St,023,-123.123135,49.273429
5,50016,Yaletown-Roundhouse Station @ Bay 4,023,-123.120842,49.274036
6,50021,Eastbound E Pender St @ Carrall St,019; 022; N19,-123.103799,49.280394
7,50022,Northbound Columbia St @ E Pender St,050,-123.102196,49.280772
8,50023,Yaletown-Roundhouse Station @ Bay 1,006,-123.122521,49.274863
9,50024,Westbound Davie St @ Richards St,006,-123.124555,49.276179
10,50025,Westbound Davie St @ Granville St,006,-123.126514,49.277437
11,50026,Westbound Davie St @ Howe St,006; 010,-123.127493,49.278073
12,50030,Northbound Burrard St @ Robson St,002; 005; 044; N22,-123.12214,49.283593
13,50031,Burrard Station @ Bay 7,002; 005; 044,-123.120503,49.284688
14,50034,Northbound Granville St @ W Hastings St,004; 007; 010; 050,-123.11335,49.285553
15,50035,Waterfront Station @ Bay 3,003; 004; 007; 008; 010; 050; N8,-123.111191,49.284786
16,50036,Eastbound W Cordova St @ Homer St,003; 004; 007; 008; 050; 209; 210; 211; 214; N8,-123.109649,49.283765
17,50038,Westbound Powell St @ Columbia St,050,-123.102896,49.283285
18,50040,Waterfront Station @ Bay 2,050,-123.112069,49.285597
19,50043,Burrard Station @ Bay 1,002; 005; N22,-123.119982,49.285306
20,50044,Southbound Burrard St @ W Georgia St,044,-123.121677,49.284178
21,50045,Southbound Burrard St @ Robson St,002; N22,-123.123336,49.283087
22,50046,Southbound Burrard St @ Barclay St,002; N22,-123.12488,49.282068
23,50047,Southbound Burrard St @ Nelson St,002; 044; N22,-123.126516,49.280981
24,50048,Westbound Davie St @ Burrard St,006,-123.129617,49.279449
25,50049,Westbound Davie St @ Thurlow St,006,-123.131638,49.280756
26,50050,Westbound Davie St @ Bute St,006,-123.133574,49.282009
27,50051,Westbound Davie St @ Jervis St,006,-123.135121,49.283006
28,50052,Westbound Davie St @ Broughton St,006,-123.136507,49.283898
29,50053,Westbound Davie St @ Cardero St,006,-123.138909,49.28546
30,50054,Eastbound W 16 Ave @ Trutch St,002; 033,-123.175459,49.257636
31,50055,Eastbound W 16 Ave @ Carnarvon St,002; 033,-123.17185,49.257583
32,50056,Northbound Macdonald St @ W 16 Ave,002; N22,-123.168299,49.258079
33,50058,Northbound Macdonald St @ W 12 Ave,002; N22,-123.168164,49.261778
34,50060,Northbound Macdonald St @ W Broadway,002; 014; N22,-123.168174,49.264458
35,50061,Northbound Macdonald St @ W 7th Ave,002; 014; N22,-123.168302,49.266074
36,50063,Northbound Macdonald St @ W 4th Ave,002; N22,-123.168204,49.268707
37,50064,Northbound Macdonald St @ W 2nd Ave,002; N22,-123.168148,49.270381
38,50067,Eastbound Cornwall Ave @ Balsam St,002; N22,-123.159332,49.272582
39,50069,Eastbound Cornwall Ave @ Yew St,002; N22,-123.154568,49.272507
40,50070,Eastbound Cornwall Ave @ Arbutus St,002; N22,-123.152226,49.272471
41,50072,Eastbound Cornwall Ave @ Cypress St,002; N22,-123.14734,49.272368
42,50073,Northbound Burrard St @ Pacific St,002; N22,-123.131783,49.277226
43,50074,Eastbound Davie St @ Burrard St,006,-123.128901,49.278793
44,50075,Northbound Burrard St @ Davie St,002; 044; N22,-123.129252,49.278885
45,50076,Eastbound W Pender St @ Burrard St,005; 019; 022; 209; 210; 211; 214; N24,-123.117245,49.286121
46,50077,Eastbound W Pender St @ Granville St,005; 019; 022; 044; 209; 210; 211; 214; N24,-123.115231,49.284791
47,50078,Eastbound W Pender St @ Seymour St,005; 014; 017; 019; 022; 209; 210; 211; 214; N15; N19; N24,-123.113589,49.283753
48,50080,Eastbound W Pender St @ Hamilton St,005; 017; 019; 022; N15; N19; N24,-123.110618,49.281799
49,50081,Southbound Cambie St @ Dunsmuir St,005; 006; N15; N24,-123.111146,49.280808
50,50085,Yaletown-Roundhouse Station @ Bay 3,023,-123.121945,49.27402
51,50086,Westbound Pacific Blvd @ Drake St,023,-123.124214,49.27342
52,50087,Westbound Pacific St @ Richards St,023,-123.127085,49.273623
53,50091,Westbound W Pender St @ Carrall St,004; 007; 019; 022; 209; 210; 211; 214; N19,-123.104998,49.280707
54,50093,Westbound W Pender St @ Abbott St,004; 007; 019; 022; 209; 210; 211; 214; N19,-123.108213,49.28129
55,50094,Westbound W Pender St @ Hamilton St,004; 005; 007; 019; 022; 209; 210; 211; 214; N19,-123.11137,49.282472
56,50095,Westbound W Pender St @ Seymour St,004; 005; 007; 010; 019; 022; 209; 210; 211; 214; N19; N22,-123.113429,49.283818
57,50096,Westbound W Pender St @ Granville St,004; 005; 007; 010; 019; 022; 209; 210; 211; 214; N19; N22; N24,-123.114596,49.284575
58,50097,Westbound W Pender St @ Howe St,005; 019; 022,-123.116055,49.285523
59,50098,Southbound Burrard St @ Davie St,002; N22,-123.12964,49.278914
60,50103,Westbound Cornwall Ave @ Arbutus St,002; N22,-123.152989,49.272608
61,50104,Westbound Cornwall Ave @ Yew St,002; N22,-123.155439,49.272645
62,50105,Westbound Cornwall Ave @ Point Grey Rd,002; N22,-123.160216,49.272731
63,50106,Westbound Cornwall Ave @ Trafalgar St,002; N22,-123.164636,49.272799
64,50107,Southbound Macdonald St @ W 1st Ave,002; N22,-123.168323,49.270753
65,50109,Southbound Macdonald St @ W 6th Ave,002; 014; N22,-123.168483,49.266274
66,50110,Southbound Macdonald St @ W Broadway,002; N22,-123.168373,49.264268
67,50111,Southbound Macdonald St @ W 11 Ave,002; N22,-123.16835,49.261885
68,50112,Southbound Macdonald St @ W 13 Ave,002; N22,-123.168421,49.260226
69,50113,Southbound Macdonald St @ W 16 Ave,002; N22,-123.168496,49.257315
70,50114,Westbound W 16 Ave @ Macdonald St,002; 033,-123.168896,49.257816
71,50115,Westbound W 16 Ave @ Mackenzie St,002; 033,-123.170777,49.257839
72,50116,Westbound W 16 Ave @ Balaclava St,002; 033,-123.17458,49.257904
73,50119,Southbound Macdonald St @ W 21 Ave,002; N22,-123.16787,49.253375
74,50121,Southbound Macdonald St @ Alamein Ave,002; N22,-123.167913,49.249858
75,50123,Westbound W King Edward Ave @ Puget Dr,002; 025; N22,-123.170432,49.249627
76,50124,Southbound Quesnel Dr @ W King Edward Ave,002; N22,-123.171914,49.249603
77,50126,Southbound Mackenzie St @ W 29 Ave,002; N22,-123.170308,49.245848
78,50128,Southbound Mackenzie St @ W 33 Ave,002; N22,-123.170345,49.241997
79,50130,Southbound Mackenzie St @ W 37 Ave,002; N22,-123.170377,49.238254
80,50132,Eastbound W 41 Ave @ Mackenzie St,041,-123.169829,49.234673
81,50133,Westbound W 41st Ave @ Willow St,041,-123.124174,49.233946
82,50134,Eastbound W 41 Ave @ Willow St,041,-123.123477,49.233687
83,50136,Oakridge-41st Ave Station @ Bay 2,R4,-123.116867,49.23344
84,50137,Eastbound W 41 Ave @ Cambie St,041,-123.115623,49.233415
85,50138,Eastbound W 41 Ave @ Columbia St,041,-123.111462,49.23327
86,50139,Eastbound W 41 Ave @ Manitoba St,041,-123.107725,49.233142
87,50140,Eastbound E 41 Ave @ Ontario St,041,-123.105218,49.233063
88,50142,Northbound Main St @ SE Marine Dr,003,-123.102035,49.211565
89,50146,Northbound Main St @ E 59 Ave,003,-123.101819,49.217015
90,50147,Northbound Main St @ E 57 Ave,003,-123.10174,49.218788
91,50150,Northbound Main St @ E 51 Ave,003,-123.101593,49.223638
92,50151,Northbound Main St @ E 49 Ave,003,-123.10147,49.225975
93,50154,Northbound Main St @ E 43 Ave,003,-123.101306,49.231454
94,50155,Northbound Main St @ E 41 Ave,003,-123.101394,49.233445
95,50156,Westbound E 41 Ave @ Main St,041,-123.102082,49.233207
96,50157,Westbound W 41 Ave @ Ontario St,041,-123.106197,49.233269
97,50158,Westbound W 41 Ave @ Columbia St,041,-123.11122,49.233442
98,50160,Oakridge-41st Ave Station @ Bay 5,041,-123.116855,49.233681
99,50162,Northbound Main St @ E 39 Ave,003,-123.101505,49.235734
100,50163,Northbound Main St @ E 36 Ave,003,-123.101502,49.23802
101,50165,Northbound Main St @ E 33 Ave,003,-123.101314,49.241308
102,50166,Northbound Main St @ E 30 Ave,003,-123.101232,49.243554
103,50167,Northbound Main St @ E 28 Ave,003,-123.101101,49.245968
104,50169,Northbound Main St @ E King Edward Ave,003,-123.100891,49.249121
105,50174,Northbound Main St @ E 12 Ave,003,-123.100888,49.260528
106,50176,Northbound Main St @ E Broadway,003,-123.100792,49.263233
107,50177,Northbound Main St @ E 6th Ave,003; 008; 019; N19; N8,-123.100685,49.265339
108,50178,Northbound Main St @ E 5th Ave,003; 008; 019; N19; N8,-123.100662,49.266719
109,50179,Northbound Main St @ E 2nd Ave,003; 008; 019; N19; N8,-123.100505,49.269455
110,50180,Northbound Main St @ Industrial Ave,003; 008; 019; N19; N8,-123.100432,49.270803
111,50181,Main Street-Science World Station @ Bay 2,003; 008; 019; 022; N19; N8,-123.099831,49.273395
112,50182,Northbound Main St @ National Ave,003; 008; 019; 022; N19; N8,-123.099748,49.275321
113,50184,Northbound Main St @ E Georgia St,003; 008; 019; 022; N19; N8,-123.099607,49.278968
114,50185,Westbound E Hastings St @ Main St,003; 008; N20; N35; N8,-123.1003,49.28144
115,50186,Westbound W Hastings St @ Carrall St,003; 008; 014; 016; 020; N20; N35; N8,-123.105366,49.281733
116,50187,Westbound W Hastings St @ Abbott St,003; 008; 014; 016; 020; N20; N35; N8,-123.108043,49.282221
117,50188,Westbound W Hastings St @ Hamilton St,003; 008; 014; 016; 020; N20; N35; N8,-123.110279,49.283085
118,50189,Southbound Richards St @ W Hastings St,005; 010; 020,-123.11242,49.283796
119,50190,Southbound Richards St @ Dunsmuir St,020,-123.115253,49.281944
120,50195,Westbound W 41 Ave @ Oak St,R4,-123.128633,49.234081
121,50196,Westbound W 41 Ave @ Selkirk St,041,-123.132951,49.234201
122,50197,Westbound W 41 Ave @ Cartier St,041,-123.137,49.234332
123,50198,Westbound W 41 Ave @ Granville St,041,-123.139167,49.234391
124,50199,Eastbound W 41 Ave @ Granville St,R4,-123.138484,49.23422
125,50200,Eastbound W 41 Ave @ Selkirk St,041,-123.132898,49.23404
126,50201,Eastbound W 41 Ave @ Osler St,041,-123.129836,49.233911
127,50203,Northbound Granville St @ W 38 Ave,010; N10,-123.139374,49.237418
128,50204,Northbound Granville St @ W 36 Ave,010; N10,-123.13931,49.239279
129,50205,Northbound Granville St @ W 34 Ave,010; N10,-123.13924,49.241186
130,50206,Northbound Granville St @ Minto Cres,010; N10,-123.139178,49.243144
131,50207,Northbound Granville St @ N Connaught Dr,010; N10,-123.139081,49.245722
132,50208,Northbound Granville St @ Nanton Ave,010; N10,-123.139023,49.24769
133,50209,Northbound Granville St @ W King Edward Ave,010; N10,-123.138924,49.250127
134,50210,Northbound Granville St @ Balfour Ave,010; N10,-123.138834,49.252263
135,50211,Northbound Granville St @ Matthews Ave,010; N10,-123.138804,49.253467
136,50212,Northbound Granville St @ W 16 Ave,010; N10,-123.138663,49.257367
137,50213,Northbound Granville St @ W 14 Ave,010; N10,-123.138595,49.25921
138,50214,Northbound Granville St @ W 12 Ave,010; 016; N10,-123.13852,49.261157
139,50217,Northbound Granville St @ W 7th Ave,010; 014; 016; N10; N17; N9,-123.138349,49.265651
140,50218,Northbound Granville St @ W 5th Ave,010; 016; N10; N17; N9,-123.138259,49.267404
141,50220,Northbound Granville St @ Davie St,004; 007; 010; 014; 016; 050,-123.125372,49.277584
142,50228,Eastbound E Cordova St @ Main St,003; 008; N8,-123.099988,49.282229
143,50229,Southbound Main St @ E Hastings St,003; 004; 007; 008; N8,-123.099812,49.28081
144,50230,Southbound Main St @ Keefer St,003; 008; 019; 022; N19; N8,-123.099896,49.279029
