stop_no,stop_name,line_con,Longitude,Latitude,x,y
50001,Westbound Davie St @ Bidwell St,023,-123.140424,49.286458,-13707929.295747804,6323607.842018133
50011,Eastbound Davie St @ Howe St,006,-123.126971,49.27755,-13706431.714638162,6322087.7154617915
50013,Eastbound Pacific St @ Richards St,023,-123.127316,49.273529,-13706470.119862486,6321401.63242062
50014,Eastbound Pacific Blvd @ Homer St,023,-123.125546,49.272929,-13706273.08436378,6321299.262228411
50015,Eastbound Pacific Blvd @ Drake St,023,-123.123135,49.273429,-13706004.69307148,6321384.570635449
50016,Yaletown-Roundhouse Station @ Bay 4,023,-123.120842,49.274036,-13705749.43747909,6321488.136203665
50021,Eastbound E Pender St @ Carrall St,019; 022; N19,-123.103799,49.280394,-13703852.219397498,6322573.006674535
50022,Northbound Columbia St @ E Pender St,050,-123.102196,49.280772,-13703673.77425376,6322637.509512334
50023,Yaletown-Roundhouse Station @ Bay 1,006,-123.122521,49.274863,-13705936.342904134,6321629.2399431765
50024,Westbound Davie St @ Richards St,006,-123.124555,49.276179,-13706162.766748404,6321853.782331368
50025,Westbound Davie St @ Granville St,006,-123.126514,49.277437,-13706380.84163087,6322068.43407532
50026,Westbound Davie St @ Howe St,006; 010,-123.127493,49.278073,-13706489.823412357,6322176.956436521
50030,Northbound Burrard St @ Robson St,002; 005; 044; N22,-123.12214,49.283593,-13705893.93017814,6323118.907415728
50031,Burrard Station @ Bay 7,002; 005; 044,-123.120503,49.284688,-13705711.70017171,6323305.774354807
50034,Northbound Granville St @ W Hastings St,004; 007; 010; 050,-123.11335,49.285553,-13704915.431854066,6323453.393637796
50035,Waterfront Station @ Bay 3,003; 004; 007; 008; 010; 050; N8,-123.111191,49.284786,-13704675.093073444,6323322.498721529
50036,Eastbound W Cordova St @ Homer St,003; 004; 007; 008; 050; 209; 210; 211; 214; N8,-123.109649,49.283765,-13704503.438418642,6323148.259756099
50038,Westbound Powell St @ Columbia St,050,-123.102896,49.283285,-13703751.697897311,6323066.346503901
50040,Waterfront Station @ Bay 2,050,-123.112069,49.285597,-13704772.831586365,6323460.902664759
50043,Burrard Station @ Bay 1,002; 005; N22,-123.119982,49.285306,-13705653.702717008,6323411.240815373
50044,Southbound Burrard St @ W Georgia St,044,-123.121677,49.284178,-13705842.389253903,6323218.739921697
50045,Southbound Burrard St @ Robson St,002; N22,-123.123336,49.283087,-13706027.068289127,6323032.557519664
50046,Southbound Burrard St @ Barclay St,002; N22,-123.12488,49.282068,-13706198.945582911,6322858.665852621
50047,Southbound Burrard St @ Nelson St,002; 044; N22,-123.126516,49.280981,-13706381.06426985,6322673.173992048
50048,Westbound Davie St @ Burrard St,006,-123.129617,49.279449,-13706726.2660108,6322411.751743019
50049,Westbound Davie St @ Thurlow St,006,-123.131638,49.280756,-13706951.242701693,6322634.779223465
50050,Westbound Davie St @ Bute St,006,-123.133574,49.282009,-13707166.757235872,6322848.597652212
50051,Westbound Davie St @ Jervis St,006,-123.135121,49.283006,-13707338.968488129,6323018.734792484
50052,Westbound Davie St @ Broughton St,006,-123.136507,49.283898,-13707493.257302366,6323170.956694138
50053,Westbound Davie St @ Cardero St,006,-123.138909,49.28546,-13707760.646719253,6323437.522307401
50054,Eastbound W 16 Ave @ Trutch St,002; 033,-123.175459,49.257636,-13711829.374107745,6318690.436855032
50055,Eastbound W 16 Ave @ Carnarvon St,002; 033,-123.17185,49.257583,-13711427.622065471,6318681.397016767
50056,Northbound Macdonald St @ W 16 Ave,002; N22,-123.168299,49.258079,-13711032.326553663,6318765.996637551
50058,Northbound Macdonald St @ W 12 Ave,002; N22,-123.168164,49.261778,-13711017.298422407,6319396.938769097
