name,listing_url,neighbourhood,latitude,longitude,price,room_type,review_scores_rating
Commercial Drive B&B,https://www.airbnb.com/rooms/18589,"Vancouver, British Columbia, Canada",49.27569,-123.07057,106.0,Private room,4.98
Main Street Vineyard,https://www.airbnb.com/rooms/125176,"Vancouver, British Columbia, Canada",49.24615,-123.09462,105.0,Private room,4.69
Beautiful room (s) Vancouver Home,https://www.airbnb.com/rooms/461386,,49.23034,-123.02971,141.0,Private room,4.42
Sunny room with private bathroom and large patio,https://www.airbnb.com/rooms/874731,"Vancouver, British Columbia, Canada",49.25785,-123.12199,139.0,Private room,4.53
Spacious Room in Character Home,https://www.airbnb.com/rooms/961831,,49.26648,-123.15939,150.0,Private room,5.0
UBC CAMPUS cozy student bdrm apt share with host,https://www.airbnb.com/rooms/1442216,"Vancouver, British Columbia, Canada",49.25826,-123.23352,162.0,Private room,4.86
"Charming ""Kitsilano Family Place""",https://www.airbnb.com/rooms/1995592,"Vancouver, British Columbia, Canada",49.263252,-123.164825,110.0,Private room,4.6
Yvette's place,https://www.airbnb.com/rooms/2632171,"Vancouver, British Columbia, Canada",49.2883,-123.04216,150.0,Private room,4.59
Funky Downtown Room in the West End,https://www.airbnb.com/rooms/2958786,"Vancouver, British Columbia, Canada",49.29314,-123.13535,150.0,Private room,4.78
Crosstown Master Bedroom Downtown Vancouver,https://www.airbnb.com/rooms/3051470,"Vancouver, British Columbia, Canada",49.27959,-123.10851,129.0,Private room,4.49
Beach Home in the Sky - Pvt Bedroom & Washroom,https://www.airbnb.com/rooms/3331694,"Vancouver, British Columbia, Canada",49.28455,-123.14071,195.0,Private room,5.0
Upstairs in beautiful Pt Grey Vancouver,https://www.airbnb.com/rooms/3534949,"Vancouver, British Columbia, Canada",49.25782,-123.20131,136.0,Private room,4.75
Cozy Room by  YVR Canada Line,https://www.airbnb.com/rooms/3853536,"Richmond, British Columbia, Canada",49.19253,-123.11021,107.0,Private room,4.76
Luxury Private room w/ Private Bath,https://www.airbnb.com/rooms/4145030,,49.22826,-123.03193,144.0,Private room,4.46
Private Hotel-Style Room & Bath Downtown Yaletown,https://www.airbnb.com/rooms/4351464,"Vancouver, British Columbia, Canada",49.27334,-123.12764,190.0,Private room,4.97
Modern Comfy Convenient Location,https://www.airbnb.com/rooms/4447077,"Vancouver, British Columbia, Canada",49.27403,-123.09921,125.0,Private room,4.81
Private top floor of lovely craftsman home,https://www.airbnb.com/rooms/4624838,"Vancouver, British Columbia, Canada",49.26041,-123.09035,142.0,Private room,4.74
Crosstown Bedroom Downtown Vancouver,https://www.airbnb.com/rooms/5007196,"Vancouver, British Columbia, Canada",49.27948,-123.10862,120.0,Private room,4.48
Private Master bedroom in a luxury Yaletown condo,https://www.airbnb.com/rooms/5261845,"Vancouver, British Columbia, Canada",49.27763,-123.12007,130.0,Private room,5.0
"Large, Modern & Private Space",https://www.airbnb.com/rooms/5471844,"Vancouver, British Columbia, Canada",49.24731,-123.08777,110.0,Private room,4.92
Cozy room by YVR Canada Line,https://www.airbnb.com/rooms/6574926,"Richmond, British Columbia, Canada",49.19273,-123.11023,112.0,Private room,4.75
Beautiful Bright Room In Kitsilano Heritage Home,https://www.airbnb.com/rooms/6692629,,49.2668,-123.15955,160.0,Private room,5.0
Heritage Home with Surreal Setting,https://www.airbnb.com/rooms/6863617,"Vancouver, British Columbia, Canada",49.27954,-123.0919,146.0,Private room,4.9
Collingwood Cottage near Dunbar,https://www.airbnb.com/rooms/6897283,"Vancouver, British Columbia, Canada",49.2539,-123.17975,185.0,Private room,4.94
"WestEndZen, Shared Garden Suite.",https://www.airbnb.com/rooms/6993905,"Vancouver, British Columbia, Canada",49.28373,-123.13267,180.0,Private room,4.89
5 min to UBC - Private Ensuite in New Home!,https://www.airbnb.com/rooms/7481879,"Vancouver, British Columbia, Canada",49.26103,-123.1857,119.0,Private room,4.52
Private Ensuite in Scenic Kits - 5 min to UBC!,https://www.airbnb.com/rooms/7494656,"Vancouver, British Columbia, Canada",49.26258,-123.18716,117.0,Private room,4.71
Room Close to Downtown/VGH/BCCH II,https://www.airbnb.com/rooms/7518690,,49.25031,-123.1205,171.0,Private room,4.87
DELUXE COZY ROOM NEAR YVR CANADA LINE,https://www.airbnb.com/rooms/7553367,"Richmond, British Columbia, Canada",49.19422,-123.11027,125.0,Private room,4.74
Luxurious Master Bedroom in Kits,https://www.airbnb.com/rooms/7635114,"Vancouver, British Columbia, Canada",49.26108,-123.18723,147.0,Private room,4.67
Luxury Downtown+Free Parking+Gym+Pool+Sauna+HotTub,https://www.airbnb.com/rooms/7701543,"Vancouver, British Columbia, Canada",49.28043,-123.10787,104.0,Private room,4.78
Private room/bathroom -- Family home,https://www.airbnb.com/rooms/7837464,"Vancouver, British Columbia, Canada",49.24248,-123.16879,125.0,Private room,4.84
Spectacular views close to all!,https://www.airbnb.com/rooms/8047959,"Vancouver, British Columbia, Canada",49.27604,-123.0988,193.0,Private room,4.88
"1A - Neocolonial Nouveau Dbl Rm w/ AC,Balc,Fridge",https://www.airbnb.com/rooms/12020603,"Vancouver, British Columbia, Canada",49.24394521133688,-123.08003079146148,110.0,Private room,5.0
"Room in 110-yr old bldg: arty, spacious, central!",https://www.airbnb.com/rooms/12522460,"Vancouver, British Columbia, Canada",49.26274,-123.12739,100.0,Private room,4.94
"Beautiful,bright space,fab location,chic style",https://www.airbnb.com/rooms/12561247,"Vancouver, British Columbia, Canada",49.26727,-123.14131,149.0,Private room,4.94
Guest suite w/ private entrance in a house,https://www.airbnb.com/rooms/12901155,"Richmond, British Columbia, Canada",49.18955,-123.14824,120.0,Private room,4.5
Central Large Modern Private Room With Bathroom,https://www.airbnb.com/rooms/13131513,"Vancouver, British Columbia, Canada",49.27461,-123.06452,102.0,Private room,4.68
