lat,lon,type,name,tags,category
49.2819978,-123.124346,cinema,Scotiabank Theatre Vancouver,"{'brand:wikidata': 'Q2972807', 'addr:province': 'BC', 'wheelchair': 'yes', 'website': 'https://www.cineplex.com/Theatre/scotiabank-theatre-vancouver', 'payment:credit_cards': 'yes', 'brand:wikipedia': 'en:Cineplex Entertainment', 'opening_hours:covid19': 'closed', 'addr:postcode': 'V6Z 3G5', 'operator': 'Cineplex', 'addr:city': 'Vancouver', 'toilets:wheelchair': 'yes', 'addr:housenumber': '900', 'phone': '+1-604-630-1407', 'opening_hours': 'Mo-Sa 10:00-18:00+; Su 11:00-18:00+', 'is_in:city': 'Vancouver', 'addr:street': 'Burrard Street', 'payment:debit_cards': 'yes', 'wikidata': 'Q38378292', 'brand': 'Cineplex'}",attraction
49.2805037,-123.1068723,theatre,Cineplex Odeon International Village Cinemas,"{'alt_name': 'Tinseltown', 'addr:housenumber': '88', 'addr:street': 'West Pender Street', 'level': '2', 'addr:city': 'Vancouver'}",attraction
49.2786691,-123.12646,cinema,The Cinematheque,"{'addr:province': 'BC', 'website': 'http://www.thecinematheque.ca/', 'addr:housenumber': '1131', 'internet_access': 'wlan', 'phone': '+1-604-688-3456', 'old_name': 'Pacific Cinematheque', 'addr:street': 'Howe Street', 'wikidata': 'Q7122345', 'addr:postcode': 'V6Z 2L7', 'addr:city': 'Vancouver'}",attraction
49.2707965,-123.1362969,theatre,The Improv Center,"{'website': 'https://www.vtsl.com/', 'addr:housenumber': '1502', 'addr:street': 'Duranleau Street', 'phone': '+1-604-280-4444'}",attraction
49.260671,-123.136489,theatre,Pacific Theatre,"{'website': 'https://pacifictheatre.org/', 'addr:housenumber': '1440', 'addr:street': 'West 12th Avenue', 'phone': '+1-604-731-5518'}",attraction
49.2663063,-123.1380996,spa,Miraj Hammam Spa,"{'opening_hours': 'Tu-We 11:00-19:00, Th 12:00-15:00, Fr 12:00-20:00, Sa 10:00-18:00 ""women""; Th 16:00-20:00, Su 14:00-18:00 ""men""', 'addr:housenumber': '1495', 'addr:street': 'West 6th Avenue'}",attraction
49.2766458,-123.1421577,theatre,Bard On The Beach (Summer Only),"{'website': 'https://bardonthebeach.org/', 'addr:housenumber': '1695', 'source': 'Bing', 'addr:street': 'Whyte Avenue', 'phone': '+1-604-737-0625', 'wikidata': 'Q807984'}",attraction
49.2704435,-123.135278,theatre,Carousel Theatre,"{'website': 'https://www.carouseltheatre.ca/', 'addr:housenumber': '1411', 'addr:street': 'Cartwright Street', 'phone': '+1-604-685-6217'}",attraction
49.250765,-123.2379433,marketplace,UBC Farm Market,{},attraction
49.2722956,-123.136955,boat_rental,Bonnie Lee Charters,"{'website': 'https://www.bonnielee.com/', 'addr:housenumber': '104 1676', 'addr:street': 'Duranleau Street', 'phone': '+1-604-290-7447'}",attraction
49.2710737,-123.136511,boat_rental,Vancouver Boat Rentals,{'phone': '+1-604-428-2628'},attraction
49.2639931,-123.1718054,spa,Footworks Relaxology,{},attraction
49.2737748,-123.0987118,marketplace,Main St. Station Farmers Market,{'opening_hours': 'We 14:00-18:00'},attraction
49.2820693,-123.0979109,theatre,Firehall Arts Centre,"{'website': 'https://firehallartscentre.ca/', 'addr:housenumber': '280', 'addr:street': 'East Cordova Street', 'phone': '+1-604-689-0926', 'wikidata': 'Q5451857'}",attraction
49.2805916,-123.1207429,nightclub,Commodore Ballroom,"{'website': 'http://www.commodoreballroom.ca/', 'check_date:opening_hours': '2022-11-05', 'source': 'website', 'addr:postcode': 'V6Z 1K3', 'capacity': '990', 'addr:city': 'Vancouver', 'opening_hours:signed': 'no', 'addr:housenumber': '868', 'phone': '+1-604-739-4550', 'old_name': 'Commodore Cabaret', 'wikipedia': 'en:Commodore Ballroom', 'addr:street': 'Granville Street', 'wikidata': 'Q5153212', 'leisure': 'music_venue', 'start_date': '1929'}",attraction
49.2782799,-123.121185,arts_centre,Contemporary Art Gallery,"{'addr:province': 'BC', 'wheelchair': 'yes', 'website': 'https://www.contemporaryartgallery.ca/', 'addr:housenumber': '555', 'phone': '+1-604-681-2700', 'opening_hours': 'Tu-Su 12:00-18:00', 'addr:street': 'Nelson Street', 'wikidata': 'Q5164961', 'addr:postcode': 'V6B 6R5', 'addr:city': 'Vancouver'}",attraction
49.2667256,-123.096764,arts_centre,Aurora Digitalis,"{'website': 'http://www.auroradigitalis.org/', 'addr:housenumber': '350', 'addr:street': 'East 2nd Avenue', 'addr:postcode': 'V5T 4R8', 'addr:city': 'Vancouver'}",attraction
49.2838008,-123.091207,arts_centre,Hfour,"{'wheelchair': 'yes', 'website': 'https://www.hfour.ca/', 'addr:housenumber': '120', 'addr:street': 'Alexander Street', 'addr:postcode': 'V6A 3c3', 'addr:city': 'Vancouver'}",attraction
49.2799331,-123.120567,theatre,The Orpheum,"{'addr:province': 'BC', 'website': 'http://orpheum-theater.com/orpheum_theater_vancouver.php', 'addr:housenumber': '601', 'addr:street': 'Smithe Street', 'wikidata': 'Q7103961', 'addr:postcode': 'V6Z 1K3', 'addr:city': 'Vancouver'}",attraction
49.2580228,-123.1013897,spa,Main Wellness Centre,"{'addr:housenumber': '3041', 'addr:street': 'Main Street', 'addr:city': 'Vancouver'}",attraction
49.2811013,-123.098369,theatre,The Rickshaw,"{'addr:province': 'BC', 'website': 'https://rickshawtheatre.com/', 'addr:housenumber': '254', 'phone': '+1-604-681-8915', 'addr:street': 'East Hastings Street', 'wikidata': 'Q38378234', 'addr:postcode': 'V6A 1P1', 'addr:city': 'Vancouver'}",attraction
49.2784275,-123.122575,nightclub,The Penthouse,"{'opening_hours:signed': 'no', 'addr:province': 'BC', 'addr:housenumber': '1019', 'outdoor_seating': 'no', 'addr:street': 'Seymour Street', 'addr:postcode': 'V6B 3M3', 'start_date': '1947', 'addr:city': 'Vancouver'}",attraction
49.2770164,-123.1248993,cinema,Vancouver International Film Centre,"{'alt_name': 'Vancity Theatre', 'addr:housenumber': '1181', 'phone': '+1-604-683-3456', 'opening_hours': '""opening hours depends on when movies play and festivals""', 'screen': '1', 'addr:street': 'Seymour Street', 'addr:postcode': 'V6B 3M7', 'email': 'info@viff.org', 'addr:city': 'Vancouver'}",attraction
49.286811900000004,-123.1279618,marketplace,CB2,"{'addr:province': 'BC', 'opening_hours': 'Mo-Sa 10:00-20:00; Su 11:00-19:00', 'wheelchair': 'yes', 'addr:housenumber': '1277', 'addr:street': 'Robson Street', 'addr:city': 'Vancouver'}",attraction
49.2545,-123.1149458,cinema,The Park Theatre,"{'website': 'https://www.cineplex.com/Theatre/the-park-theatre', 'addr:housenumber': '3440', 'phone': '+1-604-709-3456', 'source': 'local_knowledge', 'addr:street': 'Cambie St.', 'wikidata': 'Q17111702', 'addr:postcode': 'V5Z 2W8', 'operator': 'Cineplex', 'addr:city': 'Vancouver'}",attraction
49.2773021,-123.1257098,nightclub,Aura,"{'opening_hours:signed': 'no', 'addr:province': 'BC', 'website': 'https://auravancouver.ca/', 'addr:housenumber': '1180', 'phone': '+1-604-688-8889', 'smoking': 'no', 'opening_hours': 'Fr-Su 22:00-03:00', 'addr:street': 'Granville Street', 'opening_hours:covid19': 'closed', 'addr:postcode': 'V6Z 1L8', 'addr:city': 'Vancouver'}",attraction
49.2801451,-123.131353,nightclub,Kiss & Tell Lounge,"{'opening_hours': 'Tu 20:00-03:00; Fr,Sa 22:00-03:00', 'addr:housenumber': '1240', 'addr:street': 'Thurlow Street', 'addr:city': 'Vancouver'}",attraction
49.2793851,-123.129915,nightclub,Celebrities,"{'opening_hours:signed': 'no', 'addr:province': 'BC', 'wheelchair': 'limited', 'addr:housenumber': '1022', 'addr:street': 'Davie Street', 'addr:city': 'Vancouver'}",attraction
49.2851116,-123.11832,stripclub,Brandis Show Lounge,"{'addr:province': 'BC', 'addr:housenumber': '595', 'addr:street': 'Hornby Street', 'addr:city': 'Vancouver'}",attraction
49.2785234,-123.1238494,nightclub,Encore,"{'addr:housenumber': '1058', 'addr:street': 'Granville Street', 'addr:city': 'Vancouver'}",attraction
49.2806911,-123.112557,theatre,Vancouver Playhouse,"{'addr:province': 'BC', 'website': 'https://vancouvercivictheatres.com/venues/vancouver-playhouse/', 'addr:housenumber': '600', 'addr:street': 'Hamilton Street', 'wikidata': 'Q7914233', 'addr:postcode': 'V6B 3L4', 'addr:city': 'Vancouver'}",attraction
