lat,lon,name
49.286458,-123.140424,Westbound Davie St @ Bidwell St
49.27755,-123.126971,Eastbound Davie St @ Howe St
49.273529,-123.127316,Eastbound Pacific St @ Richards St
49.272929,-123.125546,Eastbound Pacific Blvd @ Homer St
49.273429,-123.123135,Eastbound Pacific Blvd @ Drake St
49.274036,-123.120842,Yaletown-Roundhouse Station @ Bay 4
49.280394,-123.103799,Eastbound E Pender St @ Carrall St
49.280772,-123.102196,Northbound Columbia St @ E Pender St
49.274863,-123.122521,Yaletown-Roundhouse Station @ Bay 1
49.276179,-123.124555,Westbound Davie St @ Richards St
49.277437,-123.126514,Westbound Davie St @ Granville St
49.278073,-123.127493,Westbound Davie St @ Howe St
49.283593,-123.12214,Northbound Burrard St @ Robson St
49.284688,-123.120503,Burrard Station @ Bay 7
49.285553,-123.11335,Northbound Granville St @ W Hastings St
49.284786,-123.111191,Waterfront Station @ Bay 3
49.283765,-123.109649,Eastbound W Cordova St @ Homer St
49.283285,-123.102896,Westbound Powell St @ Columbia St
49.285597,-123.112069,Waterfront Station @ Bay 2
49.285306,-123.119982,Burrard Station @ Bay 1
49.284178,-123.121677,Southbound Burrard St @ W Georgia St
49.283087,-123.123336,Southbound Burrard St @ Robson St
49.282068,-123.12488,Southbound Burrard St @ Barclay St
49.280981,-123.126516,Southbound Burrard St @ Nelson St
49.279449,-123.129617,Westbound Davie St @ Burrard St
49.280756,-123.131638,Westbound Davie St @ Thurlow St
49.282009,-123.133574,Westbound Davie St @ Bute St
49.283006,-123.135121,Westbound Davie St @ Jervis St
49.283898,-123.136507,Westbound Davie St @ Broughton St
49.28546,-123.138909,Westbound Davie St @ Cardero St
49.257636,-123.175459,Eastbound W 16 Ave @ Trutch St
49.257583,-123.17185,Eastbound W 16 Ave @ Carnarvon St
49.258079,-123.168299,Northbound Macdonald St @ W 16 Ave
49.261778,-123.168164,Northbound Macdonald St @ W 12 Ave
49.264458,-123.168174,Northbound Macdonald St @ W Broadway
49.266074,-123.168302,Northbound Macdonald St @ W 7th Ave
49.268707,-123.168204,Northbound Macdonald St @ W 4th Ave
49.270381,-123.168148,Northbound Macdonald St @ W 2nd Ave
49.272582,-123.159332,Eastbound Cornwall Ave @ Balsam St
49.272507,-123.154568,Eastbound Cornwall Ave @ Yew St
49.272471,-123.152226,Eastbound Cornwall Ave @ Arbutus St
49.272368,-123.14734,Eastbound Cornwall Ave @ Cypress St
49.277226,-123.131783,Northbound Burrard St @ Pacific St
49.278793,-123.128901,Eastbound Davie St @ Burrard St
49.278885,-123.129252,Northbound Burrard St @ Davie St
49.286121,-123.117245,Eastbound W Pender St @ Burrard St
49.284791,-123.115231,Eastbound W Pender St @ Granville St
49.283753,-123.113589,Eastbound W Pender St @ Seymour St
49.281799,-123.110618,Eastbound W Pender St @ Hamilton St
49.280808,-123.111146,Southbound Cambie St @ Dunsmuir St
49.27402,-123.121945,Yaletown-Roundhouse Station @ Bay 3
49.27342,-123.124214,Westbound Pacific Blvd @ Drake St
49.273623,-123.127085,Westbound Pacific St @ Richards St
49.280707,-123.104998,Westbound W Pender St @ Carrall St
49.28129,-123.108213,Westbound W Pender St @ Abbott St
49.282472,-123.11137,Westbound W Pender St @ Hamilton St
49.283818,-123.113429,Westbound W Pender St @ Seymour St
49.284575,-123.114596,Westbound W Pender St @ Granville St
49.285523,-123.116055,Westbound W Pender St @ Howe St
49.278914,-123.12964,Southbound Burrard St @ Davie St
49.272608,-123.152989,Westbound Cornwall Ave @ Arbutus St
49.272645,-123.155439,Westbound Cornwall Ave @ Yew St
49.272731,-123.160216,Westbound Cornwall Ave @ Point Grey Rd
49.272799,-123.164636,Westbound Cornwall Ave @ Trafalgar St
49.270753,-123.168323,Southbound Macdonald St @ W 1st Ave
49.266274,-123.168483,Southbound Macdonald St @ W 6th Ave
49.264268,-123.168373,Southbound Macdonald St @ W Broadway
49.261885,-123.16835,Southbound Macdonald St @ W 11 Ave
49.260226,-123.168421,Southbound Macdonald St @ W 13 Ave
49.257315,-123.168496,Southbound Macdonald St @ W 16 Ave
49.257816,-123.168896,Westbound W 16 Ave @ Macdonald St
49.257839,-123.170777,Westbound W 16 Ave @ Mackenzie St
49.257904,-123.17458,Westbound W 16 Ave @ Balaclava St
49.253375,-123.16787,Southbound Macdonald St @ W 21 Ave
49.249858,-123.167913,Southbound Macdonald St @ Alamein Ave
49.249627,-123.170432,Westbound W King Edward Ave @ Puget Dr
49.249603,-123.171914,Southbound Quesnel Dr @ W King Edward Ave
49.245848,-123.170308,Southbound Mackenzie St @ W 29 Ave
49.241997,-123.170345,Southbound Mackenzie St @ W 33 Ave
49.238254,-123.170377,Southbound Mackenzie St @ W 37 Ave
49.234673,-123.169829,Eastbound W 41 Ave @ Mackenzie St
49.233946,-123.124174,Westbound W 41st Ave @ Willow St
49.233687,-123.123477,Eastbound W 41 Ave @ Willow St
49.23344,-123.116867,Oakridge-41st Ave Station @ Bay 2
49.233415,-123.115623,Eastbound W 41 Ave @ Cambie St
49.23327,-123.111462,Eastbound W 41 Ave @ Columbia St
49.233142,-123.107725,Eastbound W 41 Ave @ Manitoba St
49.233063,-123.105218,Eastbound E 41 Ave @ Ontario St
49.211565,-123.102035,Northbound Main St @ SE Marine Dr
49.217015,-123.101819,Northbound Main St @ E 59 Ave
49.218788,-123.10174,Northbound Main St @ E 57 Ave
49.223638,-123.101593,Northbound Main St @ E 51 Ave
49.225975,-123.10147,Northbound Main St @ E 49 Ave
49.231454,-123.101306,Northbound Main St @ E 43 Ave
49.233445,-123.101394,Northbound Main St @ E 41 Ave
49.233207,-123.102082,Westbound E 41 Ave @ Main St
49.233269,-123.106197,Westbound W 41 Ave @ Ontario St
49.233442,-123.11122,Westbound W 41 Ave @ Columbia St
49.233681,-123.116855,Oakridge-41st Ave Station @ Bay 5
49.235734,-123.101505,Northbound Main St @ E 39 Ave
49.23802,-123.101502,Northbound Main St @ E 36 Ave
49.241308,-123.101314,Northbound Main St @ E 33 Ave
49.243554,-123.101232,Northbound Main St @ E 30 Ave
49.245968,-123.101101,Northbound Main St @ E 28 Ave
49.249121,-123.100891,Northbound Main St @ E King Edward Ave
49.260528,-123.100888,Northbound Main St @ E 12 Ave
49.263233,-123.100792,Northbound Main St @ E Broadway
49.265339,-123.100685,Northbound Main St @ E 6th Ave
49.266719,-123.100662,Northbound Main St @ E 5th Ave
49.269455,-123.100505,Northbound Main St @ E 2nd Ave
49.270803,-123.100432,Northbound Main St @ Industrial Ave
49.273395,-123.099831,Main Street-Science World Station @ Bay 2
49.275321,-123.099748,Northbound Main St @ National Ave
49.278968,-123.099607,Northbound Main St @ E Georgia St
49.28144,-123.1003,Westbound E Hastings St @ Main St
49.281733,-123.105366,Westbound W Hastings St @ Carrall St
49.282221,-123.108043,Westbound W Hastings St @ Abbott St
49.283085,-123.110279,Westbound W Hastings St @ Hamilton St
49.283796,-123.11242,Southbound Richards St @ W Hastings St
49.281944,-123.115253,Southbound Richards St @ Dunsmuir St
49.234081,-123.128633,Westbound W 41 Ave @ Oak St
49.234201,-123.132951,Westbound W 41 Ave @ Selkirk St
49.234332,-123.137,Westbound W 41 Ave @ Cartier St
49.234391,-123.139167,Westbound W 41 Ave @ Granville St
49.23422,-123.138484,Eastbound W 41 Ave @ Granville St
49.23404,-123.132898,Eastbound W 41 Ave @ Selkirk St
49.233911,-123.129836,Eastbound W 41 Ave @ Osler St
49.237418,-123.139374,Northbound Granville St @ W 38 Ave
49.239279,-123.13931,Northbound Granville St @ W 36 Ave
49.241186,-123.13924,Northbound Granville St @ W 34 Ave
49.243144,-123.139178,Northbound Granville St @ Minto Cres
49.245722,-123.139081,Northbound Granville St @ N Connaught Dr
49.24769,-123.139023,Northbound Granville St @ Nanton Ave
49.250127,-123.138924,Northbound Granville St @ W King Edward Ave
49.252263,-123.138834,Northbound Granville St @ Balfour Ave
49.253467,-123.138804,Northbound Granville St @ Matthews Ave
49.257367,-123.138663,Northbound Granville St @ W 16 Ave
49.25921,-123.138595,Northbound Granville St @ W 14 Ave
49.261157,-123.13852,Northbound Granville St @ W 12 Ave
49.265651,-123.138349,Northbound Granville St @ W 7th Ave
49.267404,-123.138259,Northbound Granville St @ W 5th Ave
49.277584,-123.125372,Northbound Granville St @ Davie St
49.282229,-123.099988,Eastbound E Cordova St @ Main St
49.28081,-123.099812,Southbound Main St @ E Hastings St
49.279029,-123.099896,Southbound Main St @ Keefer St
49.274506,-123.100141,Southbound Main St @ National Ave
49.273072,-123.100189,Main Street-Science World Station @ Bay 1
49.270621,-123.100821,Southbound Main St @ Switchmen St
49.265849,-123.100989,Southbound Main St @ E 5th Ave
49.259888,-123.10127,Southbound Main St @ E 12 Ave
49.258082,-123.101305,Southbound Main St @ E 14 Ave
49.256251,-123.101386,Southbound Main St @ E 16 Ave
49.252395,-123.101095,Southbound Main St @ E 20 Ave
49.250676,-123.101089,Southbound Main St @ E 22 Ave
49.248466,-123.101194,Southbound Main St @ E King Edward Ave
49.243003,-123.101498,Southbound Main St @ E 30 Ave
49.240211,-123.101629,Southbound Main St @ E 33 Ave
49.23788,-123.101715,Southbound Main St @ E 36 Ave
49.232967,-123.101913,Eastbound E 41 Ave @ Main St
49.230612,-123.101591,Southbound Main St @ E 43 Ave
49.228145,-123.101625,Southbound Main St @ E 46 Ave
49.223508,-123.101804,Southbound Main St @ E 51 Ave
49.22075,-123.101949,Southbound Main St @ E 54 Ave
49.218969,-123.102003,Southbound Main St @ E 56 Ave
49.213842,-123.102217,Southbound Main St @ E 62 Ave
49.212975,-123.102245,Southbound Main St @ E 63 Ave
49.211695,-123.101625,Eastbound E 65 Ave @ Main St
49.266827,-123.241849,Eastbound University Blvd @ Allison Rd
49.265327,-123.235217,Eastbound University Blvd @ 5300 Block
49.263486,-123.229095,Eastbound University Blvd @ 5100 Block
49.264289,-123.215067,Northbound Blanca St @ W 10 Ave
