lat,lon,type,name,tags,category
49.2831924,-123.1090499,pub,The Cambie,"{'wheelchair': 'limited', 'toilets:wheelchair': 'no', 'addr:housenumber': '300', 'addr:street': 'Cambie Street', 'addr:city': 'Vancouver'}",food
49.2347493,-123.1547249,fast_food,McDonald's,"{'brand:wikidata': 'Q38076', 'wheelchair': 'yes', 'website': 'http://www.mcdonalds.ca/', 'addr:housenumber': '2095', 'internet_access': 'wlan', 'brand:wikipedia': ""en:McDonald's"", 'opening_hours': '24/7', 'cuisine': 'burger', 'addr:street': 'West 41st Avenue', 'takeaway': 'yes', 'brand': ""McDonald's""}",food
49.2829831,-123.1098733,cafe,New Amsterdam Cafe,{'created_by': 'Potlatch 0.10f'},food
49.2684891,-123.258088,pub,Koerner's Pub,"{'opening_hours': 'Mo-Fr 11:30-01:00', 'website': 'https://www.koerners.ca/', 'addr:housenumber': '6371', 'addr:street': 'Crescent Road', 'phone': '+1-604-827-1443'}",food
49.2635825,-123.1288364,cafe,Waves,{'opening_hours': 'Mo-Fr 06:00-24:00; Sa-Su 08:00-22:00'},food
49.2601826,-123.0056472,fast_food,McDonald's,"{'brand:wikidata': 'Q38076', 'opening_hours': '24/7', 'cuisine': 'burger', 'takeaway': 'yes', 'brand': ""McDonald's"", 'brand:wikipedia': ""en:McDonald's""}",food
49.265883,-123.024278,fast_food,McDonald's,"{'brand:wikidata': 'Q38076', 'website': 'http://www.mcdonalds.ca/', 'addr:housenumber': '3695', 'internet_access': 'wlan', 'brand:wikipedia': ""en:McDonald's"", 'opening_hours': '24/7', 'cuisine': 'burger', 'addr:street': 'Lougheed Highway', 'takeaway': 'yes', 'brand': ""McDonald's""}",food
49.2733132,-123.11993,cafe,Starbucks,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'addr:housenumber': '125', 'brand:wikipedia': 'en:Starbucks', 'opening_hours': 'Mo-Su 06:00-21:00', 'cuisine': 'coffee_shop', 'addr:street': 'Davie Street', 'takeaway': 'yes', 'brand': 'Starbucks'}",food
49.2848692,-123.110987,pub,Steamworks,"{'addr:province': 'BC', 'website': 'https://steamworks.com/brew-pub', 'shop': 'alcohol', 'microbrewery': 'yes', 'addr:postcode': 'V6B 1B8', 'addr:city': 'Vancouver', 'addr:housenumber': '375', 'phone': '+1-604-689-2739', 'smoking': 'no', 'opening_hours': 'Su-Th 11:30-00:00; Fr-Sa 11:30-01:00', 'outdoor_seating': 'yes', 'addr:street': 'Water Street', 'email': 'info@steamworks.com'}",food
49.2908482,-123.1342062,cafe,Yi Fang Tea,"{'brand:wikidata': 'Q66196395', 'brand:en': 'Yi Fang Tea', 'addr:province': 'BC', 'cuisine': 'bubble_tea', 'takeaway': 'yes', 'addr:unit': '2', 'addr:city': 'Vancouver', 'opening_hours:signed': 'no', 'addr:housenumber': '1725', 'name:en': 'Yi Fang Tea', 'addr:street': 'Robson Street', 'brand:zh': '一芳水果茶', 'brand': 'Yi Fang Tea', 'name:zh': '一芳水果茶'}",food
49.2772564,-123.118737,restaurant,Ignite Pizzeria,"{'opening_hours': 'Su-Th 11:00-21:00; Fr,Sa 11:00-22:00', 'cuisine': 'pizza', 'addr:housenumber': '987', 'addr:street': 'Mainland Street', 'addr:city': 'Vancouver'}",food
