lat,lon,type,name,tags,category
49.2152943,-123.0664712,sports_centre,Fraserview Boys and Girls Club,"{'is_in': 'Vancouver, BC'}",
49.2437503,-123.1069944,swimming_pool,Hillcrest Aquatic Centre,"{'addr:housenumber': '4575', 'addr:street': 'Clancy Loranger Way', 'addr:city': 'Vancouver'}",
49.2632569,-123.1277035,dance,Broadway Ballroom,{},
49.2218377,-123.005542,fitness_centre,Coastline Fitness Club,"{'website': 'https://www.coastlinefitnessclub.com/', 'addr:housenumber': '4388', 'addr:street': 'Imperial Street', 'phone': '+1-604-760-1032', 'email': 'info@coastlinefitnessclub.com'}",
49.2329487,-123.156726,swimming_pool,Kerrisdale Pool,"{'location': 'indoor', 'access': 'yes', 'source': 'http://vancouver.ca/parks-recreation-culture/kerrisdale-pool.aspx', 'sport': 'swimming', 'operator': 'City of Vancouver', 'covered': 'yes'}",
49.2331764,-123.156574,sports_centre,Kerrisdale Community Centre,"{'addr:housenumber': '5851', 'source': 'http://www.kerrisdalecc.com/', 'addr:street': 'West Boulevard', 'addr:postcode': 'V6M 3W9'}",
49.2805916,-123.1207429,music_venue,Commodore Ballroom,"{'website': 'http://www.commodoreballroom.ca/', 'amenity': 'nightclub', 'check_date:opening_hours': '2022-11-05', 'source': 'website', 'addr:postcode': 'V6Z 1K3', 'capacity': '990', 'addr:city': 'Vancouver', 'opening_hours:signed': 'no', 'addr:housenumber': '868', 'phone': '+1-604-739-4550', 'old_name': 'Commodore Cabaret', 'wikipedia': 'en:Commodore Ballroom', 'addr:street': 'Granville Street', 'wikidata': 'Q5153212', 'start_date': '1929'}",
49.2901587,-123.1359658,ice_rink,West End Ice Rink,"{'addr:housenumber': '1750', 'addr:street': 'Haro Street', 'addr:city': 'Vancouver'}",
49.2259009,-123.0212669,fitness_station,Hip,"{'sport': 'fitness', 'ref': '10'}",
49.2238594,-123.0206428,fitness_station,Springer,"{'sport': 'fitness', 'ref': '9'}",
49.225708,-123.0138693,fitness_station,Cross,"{'fitness_station': 'equipment', 'sport': 'fitness', 'ref': '6'}",
49.2261896,-123.0205031,fitness_station,Sit Up,"{'sport': 'fitness', 'ref': '11'}",
49.2306184,-123.0183601,fitness_station,Air Walker,"{'sport': 'fitness', 'ref': '2'}",
49.2308385,-123.0180891,fitness_station,Chest,"{'sport': 'fitness', 'ref': '3'}",
49.2305499,-123.0184513,fitness_station,Strech,"{'sport': 'fitness', 'ref': '1'}",
49.2300973,-123.0191342,fitness_station,Twister,"{'sport': 'fitness', 'ref': '12'}",
49.2218292,-122.994343,dance,World Dance,"{'website': 'https://worlddanceco.com/', 'addr:housenumber': '4858', 'addr:street': 'Imperial Street', 'dance:teaching': 'yes', 'phone': '+1-604-517-4644', 'email': 'grupoamerica@shaw.ca'}",
49.2802944,-123.10065,sports_centre,STRETCH Yoga Studio,"{'wheelchair': 'no', 'website': 'https://www.stretchvancouver.com/', 'addr:housenumber': '180', 'phone': '+1-778-819-6488', 'addr:street': 'East Pender Street', 'addr:postcode': 'V6A 1T3', 'addr:city': 'Vancouver'}",
49.2764156,-123.1142451,sports_centre,Cycklus,{'sport': 'spinning'},
49.2585162,-123.1419828,pitch,Granville Park Lawn Bowls Club,"{'surface': 'grass', 'sport': 'Lawn_bowling', 'lit': 'yes'}",
49.2809746,-123.0477617,fitness_centre,Oxygen Yoga & Fitness,"{'addr:housenumber': '2760', 'addr:street': 'East Hastings Street'}",
49.2706788,-123.1085872,playground,Athlete's Village Housing Co-operative Courtyard,{'access': 'private'},
49.2833213,-123.116582,fitness_centre,Fitness World Granville Signature,"{'addr:province': 'BC', 'website': 'https://www.fitnessworld.ca/locations/granville-signature/', 'addr:housenumber': '610', 'phone': '+1-604-558-4963', 'opening_hours': 'Mo-Th 05:30-22:00; Fr 05:30-20:00; Sa-Su 08:00-20:00', 'name:en': 'Fitness World Granville Signature', 'addr:street': 'Granville Street', 'brand': 'Fitness World', 'addr:postcode': 'V6C 1X6', 'addr:city': 'Vancouver'}",
49.2812294,-123.124197,fitness_centre,Club Pilates,"{'brand:wikidata': 'Q109328844', 'addr:province': 'BC', 'addr:housenumber': '941', 'phone': '+1-604-332-3288', 'brand:wikipedia': 'en:FedEx', 'opening_hours': 'Mo-Th 06:00-21:00, Fr 06:00-19:00,Sa-Su 08:00-13:00', 'operator:wikipedia': 'en:FedEx', 'addr:street': 'Hornby Street', 'sport': 'pilates', 'brand': 'Club Pilates', 'addr:postcode': 'V6Z1K3', 'addr:city': 'Vancouver'}",
49.2443981,-123.1076021,ice_rink,Vancouver Curling Club,"{'website': 'https://www.vancurl.com/', 'addr:housenumber': '4575', 'phone': '+1-604-874-0122', 'addr:street': 'Clancy Loranger Way', 'sport': 'curling', 'addr:postcode': 'V5Y 2M4', 'addr:city': 'Vancouver'}",
49.2428164,-123.1081648,pitch,Pacific Indoor Bowls Club,"{'website': 'http://www.pacificindoor.ca/', 'addr:housenumber': '4588', 'phone': '+1-604-874-2817', 'addr:street': 'Clancy Loranger Way', 'sport': 'bowls', 'addr:postcode': 'V5Y 4B6', 'addr:city': 'Vancouver'}",
49.2429565,-123.1086046,pitch,Vancouver Phoenix Gymnastics,"{'website': 'https://www.phoenixgymnastics.com/', 'addr:housenumber': '4588', 'phone': '+1-604-737-7693', 'addr:street': 'Clancy Loranger Way', 'sport': 'gymnastics', 'addr:postcode': 'V5Y 4B6', 'addr:city': 'Vancouver'}",
49.2779044,-123.1253128,escape_game,i-Exit,"{'addr:province': 'BC', 'website': 'https://www.i-exit.com/', 'addr:housenumber': '1129', 'phone': '+1-778-379-8828', 'fee': 'yes', 'addr:street': 'Granville Street', 'addr:city': 'Vancouver'}",
49.2769727,-123.1256655,dance,The Dance Centre,"{'website': 'https://thedancecentre.ca/', 'addr:housenumber': '677', 'addr:street': 'Davie Street', 'addr:postcode': 'V6B 2G6', 'addr:unit': 'Level 6', 'addr:city': 'Vancouver'}",
49.2793334,-123.119584,fitness_centre,Oxygen Yoga & Fitness,"{'addr:province': 'BC', 'addr:housenumber': '525', 'phone': '+1-604-620-0062', 'opening_hours': '""whenever there is a class""', 'addr:street': 'Smithe Street', 'sport': 'yoga', 'addr:city': 'Vancouver'}",
49.2755348,-123.139113,marina,Burrard Civic Marina,"{'seamark:type': 'harbour', 'seamark:harbour:category': 'marina'}",
49.2743693,-123.137788,marina,Burrard Civic Marina,"{'seamark:type': 'harbour', 'seamark:harbour:category': 'marina'}",
49.2726574,-123.116763,marina,Marina Office,"{'seamark:type': 'harbour', 'seamark:harbour:category': 'marina'}",
49.2775094,-123.127376,fitness_centre,Fitness World,"{'addr:province': 'BC', 'addr:housenumber': '1214', 'addr:street': 'Howe Street', 'addr:city': 'Vancouver'}",
49.2682497,-123.148496,fitness_centre,Yyoga,{'sport': 'yoga'},
49.259836,-123.1215369,park,Vancouver General Hospital Playground,{},
49.2818536,-123.0876828,hackerspace,MakerLabs,"{'website': 'https://www.makerlabs.com/', 'addr:housenumber': '780', 'addr:street': 'East Cordova Street', 'addr:postcode': 'V6A 1M3'}",
49.3062966,-123.011812,sports_centre,The Hive,"{'website': 'http://www.hiveclimbing.com/northshore/', 'addr:housenumber': '2270', 'phone': '+1 604 683 4483', 'name:en': 'The Hive North Shore', 'addr:street': 'Dollarton Highway', 'sport': 'rock_climbing', 'addr:postcode': 'V7H 1A8', 'addr:unit': '140', 'addr:city': 'North Vancouver'}",
49.2750611,-123.121079,fitness_centre,SoulCycle,"{'brand:wikidata': 'Q17084730', 'addr:housenumber': '1128', 'addr:street': 'Mainland Street', 'sport': 'cycling', 'brand': 'SoulCycle', 'brand:wikipedia': 'en:SoulCycle'}",
49.2807938,-123.120437,bowling_alley,Commodore Bowling & Billards,"{'opening_hours:signed': 'no', 'check_date:opening_hours': '2022-11-05', 'addr:housenumber': '838', 'addr:street': 'Granville Street', 'addr:city': 'Vancouver'}",
