,name,Longitude,Latitude
0,Westbound Davie St @ Bidwell St,-123.140424,49.286458
1,Eastbound Davie St @ Howe St,-123.126971,49.27755
2,Eastbound Pacific St @ Richards St,-123.127316,49.273529
3,Eastbound Pacific Blvd @ Homer St,-123.125546,49.272929
4,Eastbound Pacific Blvd @ Drake St,-123.123135,49.273429
5,Yaletown-Roundhouse Station @ Bay 4,-123.120842,49.274036
6,Eastbound E Pender St @ Carrall St,-123.103799,49.280394
7,Northbound Columbia St @ E Pender St,-123.102196,49.280772
8,Yaletown-Roundhouse Station @ Bay 1,-123.122521,49.274863
9,Westbound Davie St @ Richards St,-123.124555,49.276179
10,Westbound Davie St @ Granville St,-123.126514,49.277437
11,Westbound Davie St @ Howe St,-123.127493,49.278073
12,Northbound Burrard St @ Robson St,-123.12214,49.283593
13,Burrard Station @ Bay 7,-123.120503,49.284688
14,Northbound Granville St @ W Hastings St,-123.11335,49.285553
15,Waterfront Station @ Bay 3,-123.111191,49.284786
16,Eastbound W Cordova St @ Homer St,-123.109649,49.283765
17,Westbound Powell St @ Columbia St,-123.102896,49.283285
18,Waterfront Station @ Bay 2,-123.112069,49.285597
19,Burrard Station @ Bay 1,-123.119982,49.285306
20,Southbound Burrard St @ W Georgia St,-123.121677,49.284178
21,Southbound Burrard St @ Robson St,-123.123336,49.283087
22,Southbound Burrard St @ Barclay St,-123.12488,49.282068
23,Southbound Burrard St @ Nelson St,-123.126516,49.280981
24,Westbound Davie St @ Burrard St,-123.129617,49.279449
25,Westbound Davie St @ Thurlow St,-123.131638,49.280756
26,Westbound Davie St @ Bute St,-123.133574,49.282009
27,Westbound Davie St @ Jervis St,-123.135121,49.283006
28,Westbound Davie St @ Broughton St,-123.136507,49.283898
29,Westbound Davie St @ Cardero St,-123.138909,49.28546
30,Eastbound W 16 Ave @ Trutch St,-123.175459,49.257636
31,Eastbound W 16 Ave @ Carnarvon St,-123.17185,49.257583
32,Northbound Macdonald St @ W 16 Ave,-123.168299,49.258079
33,Northbound Macdonald St @ W 12 Ave,-123.168164,49.261778
34,Northbound Macdonald St @ W Broadway,-123.168174,49.264458
35,Northbound Macdonald St @ W 7th Ave,-123.168302,49.266074
36,Northbound Macdonald St @ W 4th Ave,-123.168204,49.268707
37,Northbound Macdonald St @ W 2nd Ave,-123.168148,49.270381
38,Eastbound Cornwall Ave @ Balsam St,-123.159332,49.272582
39,Eastbound Cornwall Ave @ Yew St,-123.154568,49.272507
40,Eastbound Cornwall Ave @ Arbutus St,-123.152226,49.272471
41,Eastbound Cornwall Ave @ Cypress St,-123.14734,49.272368
42,Northbound Burrard St @ Pacific St,-123.131783,49.277226
43,Eastbound Davie St @ Burrard St,-123.128901,49.278793
44,Northbound Burrard St @ Davie St,-123.129252,49.278885
45,Eastbound W Pender St @ Burrard St,-123.117245,49.286121
46,Eastbound W Pender St @ Granville St,-123.115231,49.284791
47,Eastbound W Pender St @ Seymour St,-123.113589,49.283753
48,Eastbound W Pender St @ Hamilton St,-123.110618,49.281799
49,Southbound Cambie St @ Dunsmuir St,-123.111146,49.280808
50,Yaletown-Roundhouse Station @ Bay 3,-123.121945,49.27402
51,Westbound Pacific Blvd @ Drake St,-123.124214,49.27342
52,Westbound Pacific St @ Richards St,-123.127085,49.273623
53,Westbound W Pender St @ Carrall St,-123.104998,49.280707
54,Westbound W Pender St @ Abbott St,-123.108213,49.28129
55,Westbound W Pender St @ Hamilton St,-123.11137,49.282472
56,Westbound W Pender St @ Seymour St,-123.113429,49.283818
57,Westbound W Pender St @ Granville St,-123.114596,49.284575
58,Westbound W Pender St @ Howe St,-123.116055,49.285523
59,Southbound Burrard St @ Davie St,-123.12964,49.278914
60,Westbound Cornwall Ave @ Arbutus St,-123.152989,49.272608
61,Westbound Cornwall Ave @ Yew St,-123.155439,49.272645
62,Westbound Cornwall Ave @ Point Grey Rd,-123.160216,49.272731
63,Westbound Cornwall Ave @ Trafalgar St,-123.164636,49.272799
64,Southbound Macdonald St @ W 1st Ave,-123.168323,49.270753
65,Southbound Macdonald St @ W 6th Ave,-123.168483,49.266274
66,Southbound Macdonald St @ W Broadway,-123.168373,49.264268
67,Southbound Macdonald St @ W 11 Ave,-123.16835,49.261885
68,Southbound Macdonald St @ W 13 Ave,-123.168421,49.260226
69,Southbound Macdonald St @ W 16 Ave,-123.168496,49.257315
