geometry,id,count
"POLYGON ((-2072672.0490984449 13887678.495092336, -2072712.2414773095 13887528.495092336, -2072822.0490984449 13887418.687471202, -2072972.0490984449 13887378.495092336, -2073122.0490984449 13887418.687471202, -2073231.8567195802 13887528.495092336, -2073272.0490984449 13887678.495092336, -2073231.8567195802 13887828.495092336, -2073122.0490984449 13887938.30271347, -2072972.0490984449 13887978.495092336, -2072822.0490984449 13887938.30271347, -2072712.2414773095 13887828.495092336, -2072672.0490984449 13887678.495092336))",62,9
"POLYGON ((-2072683.881832174 13887660.596098527, -2072724.0742110386 13887510.596098527, -2072833.881832174 13887400.788477393, -2072983.881832174 13887360.596098527, -2073133.881832174 13887400.788477393, -2073243.6894533094 13887510.596098527, -2073283.881832174 13887660.596098527, -2073243.6894533094 13887810.596098527, -2073133.881832174 13887920.403719662, -2072983.881832174 13887960.596098527, -2072833.881832174 13887920.403719662, -2072724.0742110386 13887810.596098527, -2072683.881832174 13887660.596098527))",60,8
"POLYGON ((-2072746.471478372 13887697.620146718, -2072786.6638572367 13887547.620146718, -2072896.471478372 13887437.812525583, -2073046.471478372 13887397.620146718, -2073196.471478372 13887437.812525583, -2073306.2790995075 13887547.620146718, -2073346.471478372 13887697.620146718, -2073306.2790995075 13887847.620146718, -2073196.471478372 13887957.427767852, -2073046.471478372 13887997.620146718, -2072896.471478372 13887957.427767852, -2072786.6638572367 13887847.620146718, -2072746.471478372 13887697.620146718))",63,8
"POLYGON ((-2072576.86829419 13887593.064231126, -2072617.0606730545 13887443.064231126, -2072726.86829419 13887333.256609991, -2072876.86829419 13887293.064231126, -2073026.86829419 13887333.256609991, -2073136.6759153253 13887443.064231126, -2073176.86829419 13887593.064231126, -2073136.6759153253 13887743.064231126, -2073026.86829419 13887852.87185226, -2072876.86829419 13887893.064231126, -2072726.86829419 13887852.87185226, -2072617.0606730545 13887743.064231126, -2072576.86829419 13887593.064231126))",13,8
"POLYGON ((-2072672.776452165 13887705.528045584, -2072712.9688310297 13887555.528045584, -2072822.776452165 13887445.72042445, -2072972.776452165 13887405.528045584, -2073122.776452165 13887445.72042445, -2073232.5840733005 13887555.528045584, -2073272.776452165 13887705.528045584, -2073232.5840733005 13887855.528045584, -2073122.776452165 13887965.335666718, -2072972.776452165 13888005.528045584, -2072822.776452165 13887965.335666718, -2072712.9688310297 13887855.528045584, -2072672.776452165 13887705.528045584))",64,8
"POLYGON ((-2072604.7793312618 13887655.405331539, -2072644.9717101264 13887505.405331539, -2072754.7793312618 13887395.597710405, -2072904.7793312618 13887355.405331539, -2073054.7793312618 13887395.597710405, -2073164.5869523971 13887505.405331539, -2073204.7793312618 13887655.405331539, -2073164.5869523971 13887805.405331539, -2073054.7793312618 13887915.212952673, -2072904.7793312618 13887955.405331539, -2072754.7793312618 13887915.212952673, -2072644.9717101264 13887805.405331539, -2072604.7793312618 13887655.405331539))",152,8
"POLYGON ((-2072575.3465560086 13887653.819693161, -2072615.5389348732 13887503.819693161, -2072725.3465560086 13887394.012072027, -2072875.3465560086 13887353.819693161, -2073025.3465560086 13887394.012072027, -2073135.154177144 13887503.819693161, -2073175.3465560086 13887653.819693161, -2073135.154177144 13887803.819693161, -2073025.3465560086 13887913.627314296, -2072875.3465560086 13887953.819693161, -2072725.3465560086 13887913.627314296, -2072615.5389348732 13887803.819693161, -2072575.3465560086 13887653.819693161))",17,8
"POLYGON ((-2072384.0268434922 13888983.825382203, -2072424.2192223568 13888833.825382203, -2072534.0268434922 13888724.017761068, -2072684.0268434922 13888683.825382203, -2072834.0268434922 13888724.017761068, -2072943.8344646276 13888833.825382203, -2072984.0268434922 13888983.825382203, -2072943.8344646276 13889133.825382203, -2072834.0268434922 13889243.633003337, -2072684.0268434922 13889283.825382203, -2072534.0268434922 13889243.633003337, -2072424.2192223568 13889133.825382203, -2072384.0268434922 13888983.825382203))",122,7
"POLYGON ((-2072595.0599906011 13887688.871016564, -2072635.2523694658 13887538.871016564, -2072745.0599906011 13887429.06339543, -2072895.0599906011 13887388.871016564, -2073045.0599906011 13887429.06339543, -2073154.8676117365 13887538.871016564, -2073195.0599906011 13887688.871016564, -2073154.8676117365 13887838.871016564, -2073045.0599906011 13887948.678637698, -2072895.0599906011 13887988.871016564, -2072745.0599906011 13887948.678637698, -2072635.2523694658 13887838.871016564, -2072595.0599906011 13887688.871016564))",167,7
"POLYGON ((-2072760.34750213 13887722.9790841, -2072800.5398809947 13887572.9790841, -2072910.34750213 13887463.171462966, -2073060.34750213 13887422.9790841, -2073210.34750213 13887463.171462966, -2073320.1551232655 13887572.9790841, -2073360.34750213 13887722.9790841, -2073320.1551232655 13887872.9790841, -2073210.34750213 13887982.786705235, -2073060.34750213 13888022.9790841, -2072910.34750213 13887982.786705235, -2072800.5398809947 13887872.9790841, -2072760.34750213 13887722.9790841))",65,7
