name,listing_url,neighbourhood,latitude,longitude,price,room_type,review_scores_rating
Monthly (or Longer ) Designer One Bedroom Downtown,https://www.airbnb.com/rooms/13358,,49.28201,-123.12669,100.0,Entire home/apt,4.67
Vancouver's best kept secret,https://www.airbnb.com/rooms/13490,"Vancouver, British Columbia, Canada",49.25622,-123.06607,150.0,Entire home/apt,4.92
EcoLoft Vancouver,https://www.airbnb.com/rooms/14267,"Vancouver, British Columbia, Canada",49.24922,-123.08139,150.0,Entire home/apt,4.76
Spacious one-bedroom in sought-after Strathcona,https://www.airbnb.com/rooms/14424,,49.27921,-123.08835,166.0,Entire home/apt,4.69
"1 block to skytrain station, shops,restaurant,bank",https://www.airbnb.com/rooms/16611,"Vancouver, British Columbia, Canada",49.26339,-123.07145,100.0,Entire home/apt,4.0
Vancouver 3br 3ba house 20min to DT,https://www.airbnb.com/rooms/17158,"Vancouver, British Columbia, Canada",49.25277,-123.03774,195.0,Entire home/apt,5.0
Spacious Apartment near Granville Island and VGH,https://www.airbnb.com/rooms/19527,"Vancouver, British Columbia, Canada",49.26018,-123.13477,133.0,Entire home/apt,4.69
Beautiful 2 Br 2 Bath + Den Yaletown Seawall,https://www.airbnb.com/rooms/19621,"Vancouver, British Columbia, Canada",49.27323,-123.12032,190.0,Entire home/apt,4.0
"Relocating , working in North Vancouver ?",https://www.airbnb.com/rooms/20369,"North Vancouver, British Columbia, Canada",49.30689,-123.03184,195.0,Entire home/apt,3.67
PRIVATE  SUITE (KITCHEN+ BEDROOM+BATH+LIVING ROOM),https://www.airbnb.com/rooms/21913,"Vancouver, British Columbia, Canada",49.23442,-123.05307,102.0,Entire home/apt,4.74
Walker's paradise in Kitsilano,https://www.airbnb.com/rooms/24273,"Vancouver, British Columbia, Canada",49.26216,-123.1715,140.0,Entire home/apt,5.0
The Alpha Downtown by COMFYSUITES,https://www.airbnb.com/rooms/26047,"Vancouver, British Columbia, Canada",49.28086,-123.12375,160.0,Entire home/apt,4.76
Designer Urban Park View Townhouse,https://www.airbnb.com/rooms/32746,,49.2792,-123.105,127.0,Entire home/apt,4.27
“Suite on Main”  near  Q.E Park,https://www.airbnb.com/rooms/33150,"Vancouver, British Columbia, Canada",49.24677,-123.1048,165.0,Entire home/apt,4.98
FURNISHED 2Br + 2Br Yaletown PRIME location!,https://www.airbnb.com/rooms/35102,"Vancouver, British Columbia, Canada",49.27743,-123.11869,147.0,Entire home/apt,4.72
"Private Quiet Studio in the HEART of ""The Drive""",https://www.airbnb.com/rooms/35304,,49.2729,-123.06973,109.0,Entire home/apt,4.73
The Charlie Downtown by COMFYSUITES,https://www.airbnb.com/rooms/42645,"Vancouver, British Columbia, Canada",49.28036,-123.1234,169.0,Entire home/apt,4.79
Executive Furnished Apartment (2 months minimum),https://www.airbnb.com/rooms/48146,"Vancouver, British Columbia, Canada",49.23653,-123.02664,110.0,Entire home/apt,
Amazing Downtown Vancouver Condo!,https://www.airbnb.com/rooms/73841,"Vancouver, British Columbia, Canada",49.27591,-123.12359,129.0,Entire home/apt,4.74
Room with a Garden View!,https://www.airbnb.com/rooms/77157,"Vancouver, British Columbia, Canada",49.2452,-123.16544,145.0,Entire home/apt,4.82
Your Downtown Executive Suite,https://www.airbnb.com/rooms/98830,"Vancouver, British Columbia, Canada",49.27936,-123.12443,135.0,Entire home/apt,4.88
Family friendly Point Grey Home,https://www.airbnb.com/rooms/170137,"Vancouver, British Columbia, Canada",49.25757,-123.18966,175.0,Entire home/apt,4.87
KITS SUPER CENTRAL DELIGHTFULL APT!,https://www.airbnb.com/rooms/182451,"Vancouver, British Columbia, Canada",49.25808,-123.16824,131.0,Entire home/apt,4.88
"Stunning views, comfort, location!!",https://www.airbnb.com/rooms/248014,"Vancouver, British Columbia, Canada",49.29103,-123.05782,100.0,Entire home/apt,5.0
Luxury Coach House in Kitsilano,https://www.airbnb.com/rooms/256178,"Vancouver, British Columbia, Canada",49.26293,-123.17143,170.0,Entire home/apt,5.0
Close to downtown/shops/restaurants/skytrain,https://www.airbnb.com/rooms/311354,"Vancouver, British Columbia, Canada",49.26328,-123.07086,100.0,Entire home/apt,4.0
Modern Yaletown 1BR | GREAT VIEW + CENTRAL,https://www.airbnb.com/rooms/322824,,49.27608,-123.12452,182.0,Entire home/apt,4.89
Home (Office) Away from Home – Heart of Downtown,https://www.airbnb.com/rooms/448104,"Vancouver, British Columbia, Canada",49.28063,-123.12502,162.0,Entire home/apt,4.88
