geometry,id,count
"POLYGON ((-2074305.2656189767 13892272.080258485, -2074345.4579978413 13892122.080258485, -2074455.2656189767 13892012.27263735, -2074605.2656189767 13891972.080258485, -2074755.2656189767 13892012.27263735, -2074865.073240112 13892122.080258485, -2074905.2656189767 13892272.080258485, -2074865.073240112 13892422.080258485, -2074755.2656189767 13892531.88787962, -2074605.2656189767 13892572.080258485, -2074455.2656189767 13892531.88787962, -2074345.4579978413 13892422.080258485, -2074305.2656189767 13892272.080258485))",611,12
"POLYGON ((-2074365.4479268175 13892246.5231036, -2074405.640305682 13892096.5231036, -2074515.4479268175 13891986.715482466, -2074665.4479268175 13891946.5231036, -2074815.4479268175 13891986.715482466, -2074925.2555479528 13892096.5231036, -2074965.4479268175 13892246.5231036, -2074925.2555479528 13892396.5231036, -2074815.4479268175 13892506.330724735, -2074665.4479268175 13892546.5231036, -2074515.4479268175 13892506.330724735, -2074405.640305682 13892396.5231036, -2074365.4479268175 13892246.5231036))",612,11
"POLYGON ((-2074224.4969689175 13892225.037533125, -2074264.6893477822 13892075.037533125, -2074374.4969689175 13891965.22991199, -2074524.4969689175 13891925.037533125, -2074674.4969689175 13891965.22991199, -2074784.304590053 13892075.037533125, -2074824.4969689175 13892225.037533125, -2074784.304590053 13892375.037533125, -2074674.4969689175 13892484.84515426, -2074524.4969689175 13892525.037533125, -2074374.4969689175 13892484.84515426, -2074264.6893477822 13892375.037533125, -2074224.4969689175 13892225.037533125))",609,11
"POLYGON ((-2074352.2781696543 13892347.388848575, -2074392.470548519 13892197.388848575, -2074502.2781696543 13892087.58122744, -2074652.2781696543 13892047.388848575, -2074802.2781696543 13892087.58122744, -2074912.0857907897 13892197.388848575, -2074952.2781696543 13892347.388848575, -2074912.0857907897 13892497.388848575, -2074802.2781696543 13892607.19646971, -2074652.2781696543 13892647.388848575, -2074502.2781696543 13892607.19646971, -2074392.470548519 13892497.388848575, -2074352.2781696543 13892347.388848575))",613,11
"POLYGON ((-2074210.1630825866 13892158.896898936, -2074250.3554614512 13892008.896898936, -2074360.1630825866 13891899.089277802, -2074510.1630825866 13891858.896898936, -2074660.1630825866 13891899.089277802, -2074769.970703722 13892008.896898936, -2074810.1630825866 13892158.896898936, -2074769.970703722 13892308.896898936, -2074660.1630825866 13892418.70452007, -2074510.1630825866 13892458.896898936, -2074360.1630825866 13892418.70452007, -2074250.3554614512 13892308.896898936, -2074210.1630825866 13892158.896898936))",610,10
"POLYGON ((-2074431.3041861649 13892364.773370754, -2074471.4965650295 13892214.773370754, -2074581.3041861649 13892104.96574962, -2074731.3041861649 13892064.773370754, -2074881.3041861649 13892104.96574962, -2074991.1118073002 13892214.773370754, -2075031.3041861649 13892364.773370754, -2074991.1118073002 13892514.773370754, -2074881.3041861649 13892624.580991888, -2074731.3041861649 13892664.773370754, -2074581.3041861649 13892624.580991888, -2074471.4965650295 13892514.773370754, -2074431.3041861649 13892364.773370754))",614,10
"POLYGON ((-2074261.8397942232 13892298.373848218, -2074302.0321730878 13892148.373848218, -2074411.8397942232 13892038.566227084, -2074561.8397942232 13891998.373848218, -2074711.8397942232 13892038.566227084, -2074821.6474153586 13892148.373848218, -2074861.8397942232 13892298.373848218, -2074821.6474153586 13892448.373848218, -2074711.8397942232 13892558.181469353, -2074561.8397942232 13892598.373848218, -2074411.8397942232 13892558.181469353, -2074302.0321730878 13892448.373848218, -2074261.8397942232 13892298.373848218))",764,10
"POLYGON ((-2074359.3426209218 13892357.82040883, -2074399.5349997864 13892207.82040883, -2074509.3426209218 13892098.012787696, -2074659.3426209218 13892057.82040883, -2074809.3426209218 13892098.012787696, -2074919.1502420572 13892207.82040883, -2074959.3426209218 13892357.82040883, -2074919.1502420572 13892507.82040883, -2074809.3426209218 13892617.628029965, -2074659.3426209218 13892657.82040883, -2074509.3426209218 13892617.628029965, -2074399.5349997864 13892507.82040883, -2074359.3426209218 13892357.82040883))",615,10
"POLYGON ((-2074408.5354196415 13892203.53394077, -2074448.7277985062 13892053.53394077, -2074558.5354196415 13891943.726319635, -2074708.5354196415 13891903.53394077, -2074858.5354196415 13891943.726319635, -2074968.343040777 13892053.53394077, -2075008.5354196415 13892203.53394077, -2074968.343040777 13892353.53394077, -2074858.5354196415 13892463.341561904, -2074708.5354196415 13892503.53394077, -2074558.5354196415 13892463.341561904, -2074448.7277985062 13892353.53394077, -2074408.5354196415 13892203.53394077))",724,10
"POLYGON ((-2074201.1846347607 13892205.591052666, -2074241.3770136253 13892055.591052666, -2074351.1846347607 13891945.783431532, -2074501.1846347607 13891905.591052666, -2074651.1846347607 13891945.783431532, -2074760.992255896 13892055.591052666, -2074801.1846347607 13892205.591052666, -2074760.992255896 13892355.591052666, -2074651.1846347607 13892465.3986738, -2074501.1846347607 13892505.591052666, -2074351.1846347607 13892465.3986738, -2074241.3770136253 13892355.591052666, -2074201.1846347607 13892205.591052666))",607,10
