geometry,id,count
"POLYGON ((-2075005.8480283024 13888343.16537321, -2075046.040407167 13888193.16537321, -2075155.8480283024 13888083.357752075, -2075305.8480283024 13888043.16537321, -2075455.8480283024 13888083.357752075, -2075565.6556494378 13888193.16537321, -2075605.8480283024 13888343.16537321, -2075565.6556494378 13888493.16537321, -2075455.8480283024 13888602.972994344, -2075305.8480283024 13888643.16537321, -2075155.8480283024 13888602.972994344, -2075046.040407167 13888493.16537321, -2075005.8480283024 13888343.16537321))",1704,16
"POLYGON ((-2075026.3776332545 13888310.17954625, -2075066.5700121191 13888160.17954625, -2075176.3776332545 13888050.371925116, -2075326.3776332545 13888010.17954625, -2075476.3776332545 13888050.371925116, -2075586.18525439 13888160.17954625, -2075626.3776332545 13888310.17954625, -2075586.18525439 13888460.17954625, -2075476.3776332545 13888569.987167384, -2075326.3776332545 13888610.17954625, -2075176.3776332545 13888569.987167384, -2075066.5700121191 13888460.17954625, -2075026.3776332545 13888310.17954625))",1926,16
"POLYGON ((-2075027.7490688208 13888337.297007088, -2075067.9414476855 13888187.297007088, -2075177.7490688208 13888077.489385953, -2075327.7490688208 13888037.297007088, -2075477.7490688208 13888077.489385953, -2075587.5566899562 13888187.297007088, -2075627.7490688208 13888337.297007088, -2075587.5566899562 13888487.297007088, -2075477.7490688208 13888597.104628222, -2075327.7490688208 13888637.297007088, -2075177.7490688208 13888597.104628222, -2075067.9414476855 13888487.297007088, -2075027.7490688208 13888337.297007088))",1705,15
"POLYGON ((-2074928.9471498048 13887911.014055263, -2074969.1395286694 13887761.014055263, -2075078.9471498048 13887651.206434129, -2075228.9471498048 13887611.014055263, -2075378.9471498048 13887651.206434129, -2075488.7547709402 13887761.014055263, -2075528.9471498048 13887911.014055263, -2075488.7547709402 13888061.014055263, -2075378.9471498048 13888170.821676398, -2075228.9471498048 13888211.014055263, -2075078.9471498048 13888170.821676398, -2074969.1395286694 13888061.014055263, -2074928.9471498048 13887911.014055263))",2073,15
"POLYGON ((-2074947.6958209402 13888245.884568762, -2074987.8881998048 13888095.884568762, -2075097.6958209402 13887986.076947628, -2075247.6958209402 13887945.884568762, -2075397.6958209402 13887986.076947628, -2075507.5034420756 13888095.884568762, -2075547.6958209402 13888245.884568762, -2075507.5034420756 13888395.884568762, -2075397.6958209402 13888505.692189896, -2075247.6958209402 13888545.884568762, -2075097.6958209402 13888505.692189896, -2074987.8881998048 13888395.884568762, -2074947.6958209402 13888245.884568762))",1765,15
"POLYGON ((-2074953.1979200048 13888329.356463939, -2074993.3902988695 13888179.356463939, -2075103.1979200048 13888069.548842805, -2075253.1979200048 13888029.356463939, -2075403.1979200048 13888069.548842805, -2075513.0055411402 13888179.356463939, -2075553.1979200048 13888329.356463939, -2075513.0055411402 13888479.356463939, -2075403.1979200048 13888589.164085073, -2075253.1979200048 13888629.356463939, -2075103.1979200048 13888589.164085073, -2074993.3902988695 13888479.356463939, -2074953.1979200048 13888329.356463939))",2036,15
"POLYGON ((-2075000.5119464938 13888348.501455018, -2075040.7043253584 13888198.501455018, -2075150.5119464938 13888088.693833884, -2075300.5119464938 13888048.501455018, -2075450.5119464938 13888088.693833884, -2075560.3195676291 13888198.501455018, -2075600.5119464938 13888348.501455018, -2075560.3195676291 13888498.501455018, -2075450.5119464938 13888608.309076153, -2075300.5119464938 13888648.501455018, -2075150.5119464938 13888608.309076153, -2075040.7043253584 13888498.501455018, -2075000.5119464938 13888348.501455018))",1706,15
"POLYGON ((-2074920.283770643 13888235.25733762, -2074960.4761495076 13888085.25733762, -2075070.283770643 13887975.449716486, -2075220.283770643 13887935.25733762, -2075370.283770643 13887975.449716486, -2075480.0913917783 13888085.25733762, -2075520.283770643 13888235.25733762, -2075480.0913917783 13888385.25733762, -2075370.283770643 13888495.064958755, -2075220.283770643 13888535.25733762, -2075070.283770643 13888495.064958755, -2074960.4761495076 13888385.25733762, -2074920.283770643 13888235.25733762))",1806,15
"POLYGON ((-2075028.027498465 13888319.702653509, -2075068.2198773297 13888169.702653509, -2075178.027498465 13888059.895032374, -2075328.027498465 13888019.702653509, -2075478.027498465 13888059.895032374, -2075587.8351196004 13888169.702653509, -2075628.027498465 13888319.702653509, -2075587.8351196004 13888469.702653509, -2075478.027498465 13888579.510274643, -2075328.027498465 13888619.702653509, -2075178.027498465 13888579.510274643, -2075068.2198773297 13888469.702653509, -2075028.027498465 13888319.702653509))",1702,15
"POLYGON ((-2075043.5503654429 13888293.006814063, -2075083.7427443075 13888143.006814063, -2075193.5503654429 13888033.199192928, -2075343.5503654429 13887993.006814063, -2075493.5503654429 13888033.199192928, -2075603.3579865783 13888143.006814063, -2075643.5503654429 13888293.006814063, -2075603.3579865783 13888443.006814063, -2075493.5503654429 13888552.814435197, -2075343.5503654429 13888593.006814063, -2075193.5503654429 13888552.814435197, -2075083.7427443075 13888443.006814063, -2075043.5503654429 13888293.006814063))",1880,15
"POLYGON ((-2074996.2600423177 13888263.995196866, -2075036.4524211823 13888113.995196866, -2075146.2600423177 13888004.187575731, -2075296.2600423177 13887963.995196866, -2075446.2600423177 13888004.187575731, -2075556.067663453 13888113.995196866, -2075596.2600423177 13888263.995196866, -2075556.067663453 13888413.995196866, -2075446.2600423177 13888523.802818, -2075296.2600423177 13888563.995196866, -2075146.2600423177 13888523.802818, -2075036.4524211823 13888413.995196866, -2074996.2600423177 13888263.995196866))",647,15
"POLYGON ((-2075016.7804665458 13888312.751099322, -2075056.9728454105 13888162.751099322, -2075166.7804665458 13888052.943478188, -2075316.7804665458 13888012.751099322, -2075466.7804665458 13888052.943478188, -2075576.5880876812 13888162.751099322, -2075616.7804665458 13888312.751099322, -2075576.5880876812 13888462.751099322, -2075466.7804665458 13888572.558720456, -2075316.7804665458 13888612.751099322, -2075166.7804665458 13888572.558720456, -2075056.9728454105 13888462.751099322, -2075016.7804665458 13888312.751099322))",1877,15
"POLYGON ((-2075078.844379858 13888281.304270802, -2075119.0367587227 13888131.304270802, -2075228.844379858 13888021.496649668, -2075378.844379858 13887981.304270802, -2075528.844379858 13888021.496649668, -2075638.6520009935 13888131.304270802, -2075678.844379858 13888281.304270802, -2075638.6520009935 13888431.304270802, -2075528.844379858 13888541.111891937, -2075378.844379858 13888581.304270802, -2075228.844379858 13888541.111891937, -2075119.0367587227 13888431.304270802, -2075078.844379858 13888281.304270802))",735,15
"POLYGON ((-2075083.2372369347 13888283.222256863, -2075123.4296157993 13888133.222256863, -2075233.2372369347 13888023.414635729, -2075383.2372369347 13887983.222256863, -2075533.2372369347 13888023.414635729, -2075643.04485807 13888133.222256863, -2075683.2372369347 13888283.222256863, -2075643.04485807 13888433.222256863, -2075533.2372369347 13888543.029877998, -2075383.2372369347 13888583.222256863, -2075233.2372369347 13888543.029877998, -2075123.4296157993 13888433.222256863, -2075083.2372369347 13888283.222256863))",733,14
"POLYGON ((-2075080.6811483453 13888278.592048658, -2075120.87352721 13888128.592048658, -2075230.6811483453 13888018.784427524, -2075380.6811483453 13887978.592048658, -2075530.6811483453 13888018.784427524, -2075640.4887694807 13888128.592048658, -2075680.6811483453 13888278.592048658, -2075640.4887694807 13888428.592048658, -2075530.6811483453 13888538.399669793, -2075380.6811483453 13888578.592048658, -2075230.6811483453 13888538.399669793, -2075120.87352721 13888428.592048658, -2075080.6811483453 13888278.592048658))",737,14
"POLYGON ((-2075062.2802664828 13888289.332257753, -2075102.4726453475 13888139.332257753, -2075212.2802664828 13888029.524636619, -2075362.2802664828 13887989.332257753, -2075512.2802664828 13888029.524636619, -2075622.0878876182 13888139.332257753, -2075662.2802664828 13888289.332257753, -2075622.0878876182 13888439.332257753, -2075512.2802664828 13888549.139878888, -2075362.2802664828 13888589.332257753, -2075212.2802664828 13888549.139878888, -2075102.4726453475 13888439.332257753, -2075062.2802664828 13888289.332257753))",736,14
"POLYGON ((-2074937.399911991 13887897.002919964, -2074977.5922908557 13887747.002919964, -2075087.399911991 13887637.19529883, -2075237.399911991 13887597.002919964, -2075387.399911991 13887637.19529883, -2075497.2075331265 13887747.002919964, -2075537.399911991 13887897.002919964, -2075497.2075331265 13888047.002919964, -2075387.399911991 13888156.810541099, -2075237.399911991 13888197.002919964, -2075087.399911991 13888156.810541099, -2074977.5922908557 13888047.002919964, -2074937.399911991 13887897.002919964))",2074,14
"POLYGON ((-2075048.9387118563 13888287.618467646, -2075089.1310907209 13888137.618467646, -2075198.9387118563 13888027.810846511, -2075348.9387118563 13887987.618467646, -2075498.9387118563 13888027.810846511, -2075608.7463329916 13888137.618467646, -2075648.9387118563 13888287.618467646, -2075608.7463329916 13888437.618467646, -2075498.9387118563 13888547.42608878, -2075348.9387118563 13888587.618467646, -2075198.9387118563 13888547.42608878, -2075089.1310907209 13888437.618467646, -2075048.9387118563 13888287.618467646))",1881,14
