lat,lon,type,name,tags
49.3093371,-123.0424396,supermarket,Save-On-Foods,"{'brand:wikidata': 'Q7427974', 'addr:housenumber': '333', 'brand:wikipedia': 'en:Save-On-Foods', 'opening_hours': 'Mo-Su 07:00-22:00', 'addr:street': 'Brooksbank Avenue', 'brand': 'Save-On-Foods', 'addr:unit': '600', 'addr:city': 'North Vancouver'}"
49.1861767,-123.1333444,supermarket,Osaka Supermarket,"{'opening_hours': '08:30-23:00', 'website': 'https://www.tnt-supermarket.com', 'phone': '+1-604-276-8808', 'operator': 'Osaka Supermarket (T&T Supermarket)', 'addr:unit': '1000', 'name:zh': '大阪超級市場'}"
49.2830192,-123.109957,cannabis,CCHQ Vapour Lounge,{}
49.2193088,-123.1497429,supermarket,Choices Market,{}
49.2848692,-123.110987,alcohol,Steamworks,"{'addr:province': 'BC', 'website': 'https://steamworks.com/brew-pub', 'microbrewery': 'yes', 'amenity': 'pub', 'addr:postcode': 'V6B 1B8', 'addr:city': 'Vancouver', 'addr:housenumber': '375', 'phone': '+1-604-689-2739', 'smoking': 'no', 'opening_hours': 'Su-Th 11:30-00:00; Fr-Sa 11:30-01:00', 'outdoor_seating': 'yes', 'addr:street': 'Water Street', 'email': 'info@steamworks.com'}"
49.2829841,-123.115166,convenience,7-Eleven,"{'brand:wikidata': 'Q259340', 'addr:province': 'BC', 'wheelchair': 'yes', 'addr:housenumber': '596', 'brand:wikipedia': 'en:7-Eleven', 'addr:street': 'Seymour Street', 'brand': '7-Eleven', 'addr:city': 'Vancouver'}"
49.278642,-123.1216903,supermarket,Nesters Food Market,"{'website': 'https://www.nestersmarket.com/', 'addr:housenumber': '990', 'payment:credit_cards': 'yes', 'internet_access': 'wlan', 'opening_hours': 'Mo-Fr 07:00-22:00; Sa,Su 08:00-22:00', 'check_date:opening_hours': '2022-03-06', 'outdoor_seating': 'yes', 'addr:street': 'Seymour Street', 'payment:debit_cards': 'yes', 'addr:city': 'Vancouver'}"
49.2800788,-123.1174613,supermarket,IGA,"{'brand:wikidata': 'Q3146662', 'addr:province': 'BC', 'addr:housenumber': '489', 'brand:wikipedia': 'en:IGA (supermarkets)', 'opening_hours': 'Mo-Su 08:00-23:00', 'check_date:opening_hours': '2022-02-20', 'addr:street': 'Robson Street', 'brand': 'IGA', 'addr:city': 'Vancouver'}"
49.2788081,-123.116272,convenience,7-Eleven,"{'brand:wikidata': 'Q259340', 'addr:province': 'BC', 'addr:housenumber': '310', 'phone': '+1-604-678-8305', 'brand:wikipedia': 'en:7-Eleven', 'addr:street': 'Robson Street', 'brand': '7-Eleven', 'addr:city': 'Vancouver'}"
49.2717848,-123.134159,art,Dragonspace,"{'website': 'https://www.dragonspace.ca/', 'addr:housenumber': '1551', 'phone': '+1-604-689-8931', 'opening_hours': 'Mo-Su 10:00-18:00', 'check_date:opening_hours': '2021-05-15', 'addr:street': 'Johnston Street', 'email': 'info@dragonspace.ca', 'addr:unit': '106'}"
