lat,lon,type,name,tags,category
49.2777533,-123.1449485,artwork,The Stop,"{'artist_name': 'Michael Zheng', 'ref': '2'}",
49.2943999,-123.1378729,attraction,Lost Lagoon Nature House,{},
49.2843057,-123.143728,artwork,Inukshuk,"{'note': 'This ancient symbol of the Inuit culture is traditionally used as a landmark and navigational aid and also represents northern hospitality and friendship. Constructed of grey granite by Alvin Kanak of Rankin Inlet, this monument was commissioned by the Go', 'website': 'https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?FromArtworkSearch=True&ArtworkId=172', 'material': 'granite', 'artist_name': 'Alvin Kanak', 'artwork_type': 'sculpture', 'start_date': '1986', 'height': '6'}",
49.2893606,-123.1176596,attraction,2010 Olympic Flame,"{'wheelchair': 'yes', 'historic': 'monument'}",
49.2759765,-123.1427011,museum,City of Vancouver Archives,{},
49.2843841,-123.10889,attraction,Gastown Steam Clock,"{'wheelchair': 'yes', 'addr:housenumber': '305', 'historic': 'monument', 'visibility': 'street', 'amenity': 'clock', 'display': 'analog', 'wikipedia': 'en:Steam clock#Gastown steam clock', 'addr:street': 'Water Street', 'wikidata': 'Q107352564', 'support': 'ground'}",
49.2832178,-123.120566,artwork,Four Boats Stranded,{'artwork_type': 'installation'},
49.2828278,-123.119971,artwork,Four Boats Stranded,{'artwork_type': 'installation'},
49.2826194,-123.120281,artwork,Four Boats Stranded,{'artwork_type': 'installation'},
49.21918,-123.2139445,attraction,Iona Beach Park,{},
49.3019096,-123.1337742,attraction,Miniature Railway,{},
49.2846114,-123.112316,viewpoint,Harbour Centre Lookout Tower,"{'wheelchair': 'yes', 'website': 'https://www.vancouverlookout.com/', 'alt_name': 'Vancouver Lookout', 'addr:housenumber': '555', 'phone': '+1-604-689-0421', 'opening_hours': 'Oct-May 09:00-21:00; Jun-Sep 08:30-22:30', 'wikipedia': 'en:Harbour Centre', 'addr:street': 'West Hastings Street', 'wikidata': 'Q867340', 'addr:city': 'Vancouver'}",
49.3135511,-123.1423732,viewpoint,Lowden’s Lookout,{},
49.2895459,-123.1079022,viewpoint,Canada Place,{},
49.271391,-123.1062216,artwork,The Birds,"{'note': 'Giant Sparrows', 'artist_name': 'Myfanwy MacLeod', 'artwork_type': 'sculpture'}",
49.2284538,-123.0230068,artwork,Ambassador of Peace,"{'note': 'This is a large statue.', 'artwork_type': 'statue', 'survey:date': '2021-02-09'}",
49.2760449,-123.144556,artwork,The Crab,"{'wheelchair': 'yes', 'website': 'https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=108', 'artwork_type': 'sculpture', 'material': 'stainless steel', 'artist_name': 'George A. Norris', 'start_date': '1968'}",
49.3023253,-123.006598,viewpoint,Otter Point Viewpoint,{},
49.2055571,-123.263962,viewpoint,Terminus,{},
49.2736883,-123.1213813,museum,Engine 374 Pavilion,"{'opening_hours': 'Fr-Su 11:00-15:00', 'fee': 'no'}",
49.2980289,-123.1175092,attraction,Nine O'Clock Gun,"{'wikidata': 'Q277440', 'wikipedia': ""en:9 O'Clock Gun"", 'addr:street': 'Stanley Park Seawall'}",
49.3026075,-123.1259323,artwork,Girl In A Wetsuit,"{'wikipedia': 'en:Girl in a Wetsuit', 'artwork_type': 'sculpture', 'material': 'bronze', 'wikidata': 'Q5564477', 'start_date': '1972'}",
49.2830107,-123.120891,artwork,Four Boats Stranded,{'artwork_type': 'installation'},
49.2678288,-123.1010309,artwork,Vivo Media Arts Centre,{'source': 'survey'},
49.3084833,-123.1557866,viewpoint,Siwash Rock Viewpoint,{},
49.2820831,-123.0981897,museum,Vancouver Police Museum,"{'opening_hours': 'Tu-Sa 09:00-17:00', 'website': 'http://www.vancouverpolicemuseum.com', 'addr:housenumber': '240', 'addr:street': 'East Cordova Street', 'phone': '+1-604-665-3346', 'wikidata': 'Q2510009'}",
49.273232,-123.1025401,artwork,Tower of Bauble,"{'description': 'kinetic sculpture', 'source': 'survey'}",
49.2898174,-123.116709,artwork,Digital Orca,"{'website': 'https://www.coupland.com/public-arts/digital-orca', 'source:website': 'https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?FromArtworkSearch=True&ArtworkId=521', 'material': 'aluminum', 'artist_name': 'Douglas Coupland', 'source': 'survey;website', 'artwork_type': 'sculpture', 'wikidata': 'Q1224775', 'start_date': '2009'}",
49.2928297,-123.1306803,attraction,Fellowship Bell,"{'website': 'https://www.waymarking.com/waymarks/WMHEFZ_Coal_Harbour_Fellowship_Bell_Vancouver_BC', 'alt_name': ""Vancouver's Coal Harbour Fellowship Bell"", 'source': 'survey'}",
49.3023586,-123.1480254,artwork,Listen,"{'artist_name': 'John Hemsworth and Peter Tiesenhausen', 'source': 'survey', 'start_date': '2009'}",
49.3069151,-123.1536164,attraction,Hollow Tree,"{'natural': 'tree', 'website': 'https://vancouver.ca/parks-recreation-culture/landmarks-in-stanley-park.aspx'}",
49.2637342,-123.0968372,artwork,Dude Chilling Park sign,"{'artist_name': 'Viktor Briestensky', 'wikidata': 'Q16967365', 'wikipedia': 'en:Dude Chilling Park'}",
49.263842,-123.0961492,artwork,Reclining Figure,"{'artist_name': 'Michael Dennis', 'artwork_type': 'sculpture'}",
49.1977374,-123.1739744,artwork,Pacific Passage,"{'name:fr': 'Passage Pacifique', 'description': 'A British Columbia Coastal Experience', 'website': 'http://www.yvr.ca/en/about-yvr/art/the-pacific-passage', 'name:en': 'Pacific Passage', 'artwork_type': 'sculpture', 'level': '2'}",
49.197205,-123.177215,artwork,Flight (Spindle Whorl),{'note': 'Lev 2'},
49.2821685,-123.1411376,artwork,Engagement,"{'website': 'https://www.vancouverbiennale.com/artworks/engagement/', 'wikipedia': 'en:Engagement (sculpture)', 'artwork_type': 'sculpture', 'material': 'aluminum, steel, plexiglass', 'artist_name': 'Dennis Oppenheim', 'wikidata': 'Q5377412'}",
49.293023,-123.133902,artwork,Search,"{'material': 'bronze', 'artist_name': 'J. Seward Johnson Jr.', 'artwork_type': 'sculpture'}",
49.3050277,-123.003608,viewpoint,Maplewood Lookout,{},
49.2620491,-123.120905,artwork,Rick Hansen,"{'memorial': 'statue', 'artwork_type': 'statue'}",
49.261194,-123.1139368,artwork,George Vancouver,"{'historic': 'memorial', 'memorial:type': 'statue', 'artist_name': 'Charles Marega', 'wikidata': 'Q27919857'}",
49.2855491,-123.142403,artwork,Joe Fortes Drinking Fountain,"{'wheelchair': 'limited', 'website': 'https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?FromArtworkSearch=False&ArtworkId=163', 'artist_name': 'Charles Marega', 'inscription': 'This Fountain\nErected by the citizens and children, co-operating with the Kiwanis Club of Vancouver, commemorates the life and deeds of Joe Fortes, for many years the guardian of this beach.\n\n~ Little Children Loved Him.\n\nA.D. 1927', 'website_2': 'http://www.waymarking.com/waymarks/WM9GYR_Joe_Fortes_Fountain_Vancouver_BC', 'memorial': 'fountain', 'artwork_type': 'sculpture', 'start_date': '1927'}",
49.2719249,-123.1098097,artwork,Human Structures Vancouver,"{'artist_name': 'Jonathan Borofsky', 'source': 'http://www.vancouverbiennale.com/artworks/human-structures-vancouver/', 'artwork_type': 'sculpture'}",
49.3008242,-123.1170478,viewpoint,Brockton Point,{'wheelchair': 'no'},
49.2816804,-123.1130024,artwork,Water Work,"{'artist_name': 'Tony Bloom', 'artwork_type': 'sculpture'}",
49.2812618,-123.1158358,artwork,Royal Sweet Diamond,"{'material': 'bronze', 'artist_name': 'Joseph Farard', 'artwork_type': 'sculpture'}",
49.2848345,-123.1168041,gallery,Chali Rosso,"{'addr:housenumber': '549', 'addr:street': 'Howe Street'}",
49.2781334,-123.1449681,artwork,Gate to the Northwest Passage,"{'artist_name': 'Alan Chun Hung', 'wikidata': 'Q14874600', 'wikipedia': 'en:Gate to the Northwest Passage'}",
49.301174,-123.1586277,viewpoint,Ferguson Point,{},
49.2731149,-123.0996959,artwork,The Watch Seller,"{'description': 'commissioned by Translink', 'artwork_type': 'statue', 'material': 'bronze', 'artist_name': 'Rhonda Weppler, Trevor Mahovsky', 'start_date': '2014'}",
49.2800083,-123.1138813,artwork,Mind Crystal,{'website': 'https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=528'},
49.281491,-123.1121571,gallery,Or,"{'wikidata': 'Q7099175', 'addr:housenumber': '555', 'addr:street': 'Hamilton Street'}",
49.2893873,-123.1142206,artwork,The Drop,"{'artist_name': 'Ingess Idee', 'wikidata': 'Q7731049'}",
49.2763502,-123.1449814,museum,H. R. MacMillan Space Centre,"{'wheelchair': 'yes', 'website': 'https://www.spacecentre.ca/', 'alt_name': 'Pacific Space Centre', 'addr:housenumber': '1100', 'phone': '+1-604-738-7827', 'loc_name': 'Planetarium', 'wikipedia': 'en:H. R. MacMillan Space Centre', 'addr:street': 'Chestnut Street', 'wikidata': 'Q4244994', 'addr:city': 'Vancouver'}",
49.2690804,-123.2572659,artwork,Classical Toy Boat,"{'artwork_type': 'sculpture', 'material': 'marble', 'artist_name': 'Glenn Lewis', 'start_date': '1987'}",
49.2869661,-123.1287547,artwork,Jasper,"{'website': 'https://www.vancouverbiennale.com/artworks/jasper/', 'artwork_type': 'sculpture', 'material': 'steel', 'artist_name': 'John Clement'}",
49.2653777,-123.2511237,artwork,Musqueam Post,"{'material': 'wood', 'artist_name': 'Brent Sparrow Jr.', 'artwork_type': 'carving'}",
49.2730636,-123.1025472,artwork,Solar Bike Tree,{},
